#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Regione_Fornitore,Convenzione,Lotto,Valore_economico_consumi,Numero_Ordini,N_PA,N_PO
"2018","COMUNI","EMILIA ROMAGNA","EMILIA ROMAGNA","GAS NATURALE 10","LOMBARDIA, TRENTINO ALTO ADIGE","1352,5","1","1","1"
"2018","COMUNI","EMILIA ROMAGNA","EMILIA ROMAGNA","GAS NATURALE 10","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA ","1038414,01","71","69","70"
"2018","COMUNI","TRENTINO ALTO ADIGE","EMILIA ROMAGNA","GAS NATURALE 8","LOMBARDIA, TRENTINO ALTO ADIGE","278021,62","25","23","23"
"2018","COMUNI","TRENTINO ALTO ADIGE","EMILIA ROMAGNA","GAS NATURALE 10","LOMBARDIA, TRENTINO ALTO ADIGE","268851,07","33","30","31"
"2018","COMUNI","FRIULI VENEZIA GIULIA","EMILIA ROMAGNA","GAS NATURALE 8","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","131669,9","12","11","11"
"2018","COMUNI","FRIULI VENEZIA GIULIA","EMILIA ROMAGNA","GAS NATURALE 10","LOMBARDIA, TRENTINO ALTO ADIGE","22367,76","1","1","1"
"2018","COMUNI","FRIULI VENEZIA GIULIA","EMILIA ROMAGNA","GAS NATURALE 10","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA ","595443,28","75","66","67"
"2018","COMUNI","VENETO","TRENTINO ALTO ADIGE","ENERGIA ELETTRICA 13","VENETO, FRIULI VENEZIA GIULIA","911795,65","175","161","164"
"2018","COMUNI","FRIULI VENEZIA GIULIA","TRENTINO ALTO ADIGE","ENERGIA ELETTRICA 13","VENETO, FRIULI VENEZIA GIULIA","194576,54","81","77","78"
"2018","REGIONI","LAZIO","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","1767699,47","2","1","2"
"2018","REGIONI","LAZIO","LAZIO","ENERGIA ELETTRICA 15","PROVINCIA DI ROMA","68658,56","2","1","1"
"2018","REGIONI","LAZIO","LAZIO","CARBURANTI RETE - FUEL CARD 6","TOSCANA, UMBRIA, LAZIO, CAMPANIA, SARDEGNA","147180,01","1","1","1"
"2018","REGIONI","MARCHE","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","1688,26","1","1","1"
"2018","REGIONI","MARCHE","LAZIO","ENERGIA ELETTRICA 14","LOTTO 5 - TOSCANA, UMBRIA, MARCHE","149833,24","9","1","2"
"2018","REGIONI","MARCHE","LAZIO","ENERGIA ELETTRICA 15","MARCHE, UMBRIA","490563,74","6","1","1"
"2018","REGIONI","MARCHE","LAZIO","CARBURANTI RETE - FUEL CARD 6","EMILIA ROMAGNA, MARCHE, ABRUZZO, MOLISE","47007,1","3","1","2"
"2018","REGIONI","MARCHE","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","83450","6","1","4"
"2018","REGIONI","MOLISE","LAZIO","CARBURANTI RETE - FUEL CARD 6","EMILIA ROMAGNA, MARCHE, ABRUZZO, MOLISE","6737,2","1","1","1"
"2018","REGIONI","MOLISE","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","44500","3","1","3"
"2018","REGIONI","PUGLIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 8 - PUGLIA,  ABRUZZO, MOLISE","367531,99","3","1","2"
"2018","REGIONI","PUGLIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","216300","7","1","3"
"2018","REGIONI","PUGLIA","LAZIO","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO? - PUGLIA, MOLISE","1814,36","1","1","1"
"2018","REGIONI","UMBRIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 5 - TOSCANA, UMBRIA, MARCHE","468852,04","3","1","2"
"2018","REGIONI","UMBRIA","LAZIO","ENERGIA ELETTRICA 15","MARCHE, UMBRIA","174378,97","1","1","1"
"2018","REGIONI","UMBRIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","TOSCANA, UMBRIA, LAZIO, CAMPANIA, SARDEGNA","78178,29","2","1","2"
"2018","REGIONI","UMBRIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","5000","1","1","1"
"2018","REGIONI","UMBRIA","LAZIO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - EMILIA ROMAGNA, TOSCANA, UMBRIA, MARCHE","20293,73","4","1","1"
"2018","REGIONI","VENETO","LAZIO","ENERGIA ELETTRICA 15","VENETO","151274,54","1","1","1"
"2018","REGIONI","VENETO","LAZIO","CARBURANTI RETE - FUEL CARD 6","TRENTINO ALTO ADIGE, VENETO, FRIULI VENEZIA GIULIA","110322,49","5","1","5"
"2018","REGIONI","VENETO","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","97321,55","10","1","8"
"2018","REGIONI","ABRUZZO","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","2200,85","2","1","1"
"2018","REGIONI","ABRUZZO","LAZIO","ENERGIA ELETTRICA 14","LOTTO 8 - PUGLIA,  ABRUZZO, MOLISE","229651,12","2","1","1"
"2018","REGIONI","ABRUZZO","LAZIO","CARBURANTI RETE - FUEL CARD 6","EMILIA ROMAGNA, MARCHE, ABRUZZO, MOLISE","138652,25","6","1","5"
"2018","REGIONI","LIGURIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","101191,15","1","1","1"
"2018","REGIONI","LIGURIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","5500","1","1","1"
"2018","REGIONI","SICILIA","LAZIO","ENERGIA ELETTRICA 13","CALABRIA, SICILIA","387798,29","1","1","1"
"2018","REGIONI","SICILIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 9 - CALABRIA, SICILIA","1584583,37","10","1","2"
"2018","REGIONI","SICILIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","PUGLIA, BASILICATA, CALABRIA, SICILIA","452536,1","17","1","9"
"2018","REGIONI","SICILIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","1219017,5","47","1","23"
"2018","REGIONI","SICILIA","LAZIO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - CALABRIA, SICILIA","6952,31","3","1","3"
"2018","REGIONI","SICILIA","LAZIO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","CARBURANTI PER AUTOTRAZIONE IN EXTRARETE - CALABRIA, SICILIA","1687,94","1","1","1"
"2018","REGIONI","TOSCANA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","246564,29","4","1","2"
"2018","REGIONI","CALABRIA","LAZIO","GAS NATURALE 9","CALABRIA, SICILIA","1206,8","1","1","1"
"2018","REGIONI","CALABRIA","LAZIO","ENERGIA ELETTRICA 13","CALABRIA, SICILIA","35,42","1","1","1"
"2018","REGIONI","CALABRIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 9 - CALABRIA, SICILIA","630655,84","2","1","2"
"2018","REGIONI","CALABRIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","PUGLIA, BASILICATA, CALABRIA, SICILIA","17106,86","2","1","2"
"2018","REGIONI","CALABRIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","40837,34","5","1","4"
"2018","REGIONI","CALABRIA","LAZIO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - CALABRIA, SICILIA","14566,75","2","1","1"
"2018","REGIONI","CAMPANIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","1830,71","1","1","1"
"2018","REGIONI","CAMPANIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 7 - CAMPANIA, BASILICATA","14100396,19","4","1","3"
"2018","REGIONI","CAMPANIA","LAZIO","ENERGIA ELETTRICA 15","CAMPANIA","725726,77","2","1","2"
"2018","REGIONI","CAMPANIA","LAZIO","ENERGIA ELETTRICA 15","PROVINCIA DI ROMA","2876,27","1","1","1"
"2018","REGIONI","CAMPANIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","TOSCANA, UMBRIA, LAZIO, CAMPANIA, SARDEGNA","43384,44","2","1","2"
"2018","REGIONI","CAMPANIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","134250","7","1","2"
"2018","REGIONI","PIEMONTE","LAZIO","CARBURANTI RETE - FUEL CARD 6","VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","172476,49","5","1","3"
"2018","REGIONI","PIEMONTE","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","33492,84","2","1","2"
"2018","REGIONI","SARDEGNA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 10 - SARDEGNA","877530,31","2","1","2"
"2018","REGIONI","SARDEGNA","LAZIO","ENERGIA ELETTRICA 15","SARDEGNA, LIGURIA","847099,45","3","1","2"
"2018","REGIONI","SARDEGNA","LAZIO","CARBURANTI RETE - FUEL CARD 6","TOSCANA, UMBRIA, LAZIO, CAMPANIA, SARDEGNA","103096,47","3","1","2"
"2018","REGIONI","SARDEGNA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","556100","22","1","7"
"2018","REGIONI","LOMBARDIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","8336,32","1","1","1"
"2018","REGIONI","LOMBARDIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","109900","7","1","1"
"2018","REGIONI","BASILICATA","LAZIO","CARBURANTI RETE - FUEL CARD 6","PUGLIA, BASILICATA, CALABRIA, SICILIA","83164,66","2","1","2"
"2018","REGIONI","VALLE D'AOSTA","LAZIO","CARBURANTI RETE - FUEL CARD 6","VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","335857,04","22","1","21"
"2018","REGIONI","VALLE D'AOSTA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","166453,18","15","1","10"
"2018","REGIONI","VALLE D'AOSTA","LAZIO","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO ?ARTICO? - VALLE D'AOSTA, PIEMONTE, LIGURIA","49250,48","3","1","2"
"2018","REGIONI","EMILIA ROMAGNA","LAZIO","CARBURANTI RETE - FUEL CARD 6","EMILIA ROMAGNA, MARCHE, ABRUZZO, MOLISE","185150,17","1","1","1"
"2018","REGIONI","TRENTINO ALTO ADIGE","LAZIO","CARBURANTI RETE - FUEL CARD 6","TRENTINO ALTO ADIGE, VENETO, FRIULI VENEZIA GIULIA","9174,2","2","1","2"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","2406,39","1","1","1"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","ENERGIA ELETTRICA 15","PROVINCIA DI ROMA","2319,77","1","1","1"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","ENERGIA ELETTRICA 15","TRENTINO ALTO ADIGE, FRIULI VENEZIA GIULIA","1094691,63","4","1","2"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","CARBURANTI RETE - FUEL CARD 6","TRENTINO ALTO ADIGE, VENETO, FRIULI VENEZIA GIULIA","453655,65","4","1","4"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","421500","18","1","6"
"2018","REGIONI","FRIULI VENEZIA GIULIA","LAZIO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","CARBURANTI PER AUTOTRAZIONE IN EXTRARETE - TRENTINO ALTO ADIGE, FRIULI VENEZIA GIULIA, VENETO","626,02","1","1","1"
"2018","REGIONI","TRENTINO ALTO ADIGE","VENETO","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - TRENTINO ALTO ADIGE, FRIULI VENEZIA GIULIA, VENETO","10963,04","2","1","2"
"2018","REGIONI","VALLE D'AOSTA","LIGURIA","ENERGIA ELETTRICA 15","VALLE D?AOSTA, PIEMONTE","15056,05","5","1","1"
"2018","REGIONI","LAZIO","TOSCANA","GAS NATURALE 9","LAZIO, ABRUZZO, MOLISE","24753,26","2","1","2"
"2018","REGIONI","LAZIO","TOSCANA","GAS NATURALE 10","LAZIO, ABRUZZO, MOLISE 	","5148,58","1","1","1"
"2018","REGIONI","MARCHE","TOSCANA","GAS NATURALE 9","TOSCANA, UMBRIA, MARCHE","1388,09","1","1","1"
"2018","REGIONI","MARCHE","TOSCANA","GAS NATURALE 10","TOSCANA, UMBRIA, MARCHE","1071,33","1","1","1"
"2018","REGIONI","MOLISE","TOSCANA","GAS NATURALE 10","LAZIO, ABRUZZO, MOLISE 	","1246,77","1","1","1"
"2018","REGIONI","PUGLIA","TOSCANA","GAS NATURALE 9","CAMPANIA, PUGLIA, BASILICATA","1456,76","2","1","1"
"2018","REGIONI","UMBRIA","TOSCANA","GAS NATURALE 9","TOSCANA, UMBRIA, MARCHE","43230,05","1","1","1"
"2018","REGIONI","UMBRIA","TOSCANA","GAS NATURALE 10","TOSCANA, UMBRIA, MARCHE","14335,47","1","1","1"
"2018","REGIONI","ABRUZZO","TOSCANA","GAS NATURALE 9","LAZIO, ABRUZZO, MOLISE","153221,4","2","1","2"
"2018","REGIONI","ABRUZZO","TOSCANA","GAS NATURALE 10","LAZIO, ABRUZZO, MOLISE 	","6130,3","1","1","1"
"2018","REGIONI","CALABRIA","TOSCANA","GAS NATURALE 9","CALABRIA, SICILIA","4635,49","1","1","1"
"2018","REGIONI","CAMPANIA","TOSCANA","GAS NATURALE 9","CAMPANIA, PUGLIA, BASILICATA","141823,51","2","1","2"
"2018","REGIONI","CAMPANIA","TOSCANA","GAS NATURALE 10","CAMPANIA, PUGLIA, BASILICATA","26729,32","3","1","2"
"2018","REGIONI","PIEMONTE","TOSCANA","GAS NATURALE 10","VALLE D?AOSTA, PIEMONTE, LIGURIA","80678,99","2","1","2"
"2018","REGIONI","VALLE D'AOSTA","TOSCANA","GAS NATURALE 10","VALLE D?AOSTA, PIEMONTE, LIGURIA","65366,59","4","1","4"
"2018","REGIONI","FRIULI VENEZIA GIULIA","TOSCANA","GAS NATURALE 9","LAZIO, ABRUZZO, MOLISE","2411,06","1","1","1"
"2018","REGIONI","FRIULI VENEZIA GIULIA","TOSCANA","GAS NATURALE 10","LAZIO, ABRUZZO, MOLISE 	","265,35","1","1","1"
"2018","REGIONI","LAZIO","PIEMONTE","ENERGIA ELETTRICA 15","LAZIO ESCLUSA LA PROVINCIA DI ROMA","39429,05","1","1","1"
"2018","REGIONI","PUGLIA","PIEMONTE","ENERGIA ELETTRICA 15","PUGLIA, BASILICATA","547982,94","1","1","1"
"2018","REGIONI","SICILIA","PIEMONTE","ENERGIA ELETTRICA 15","SICILIA","1568319,62","12","1","2"
"2018","REGIONI","CALABRIA","PIEMONTE","ENERGIA ELETTRICA 15","CALABRIA","496501","3","1","2"
"2018","REGIONI","PIEMONTE","PIEMONTE","GAS NATURALE 9","VALLE D?AOSTA, PIEMONTE, LIGURIA","295496,54","2","1","2"
"2018","REGIONI","VALLE D'AOSTA","PIEMONTE","GAS NATURALE 9","VALLE D?AOSTA, PIEMONTE, LIGURIA","303833,54","4","1","4"
"2018","REGIONI","SARDEGNA","SARDEGNA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - SARDEGNA","13063,75","2","1","1"
"2018","REGIONI","SARDEGNA","SARDEGNA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; [SE OFFERTO - GASOLIO DA RISCALDAMENTO ?ARTICO?] - SARDEGNA","7071,7","1","1","1"
"2018","REGIONI","LAZIO","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","653667,93","4","1","2"
"2018","REGIONI","MARCHE","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","35056,39","4","1","4"
"2018","REGIONI","MOLISE","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","2520,33","1","1","1"
"2018","REGIONI","PUGLIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","34285,36","6","1","2"
"2018","REGIONI","UMBRIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","39044,53","2","1","2"
"2018","REGIONI","VENETO","LOMBARDIA","GAS NATURALE 9","EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","259595,41","14","1","12"
"2018","REGIONI","VENETO","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","18316,97","1","1","1"
"2018","REGIONI","ABRUZZO","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","10337,42","5","1","4"
"2018","REGIONI","LIGURIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","17329,68","2","1","2"
"2018","REGIONI","LIGURIA","LOMBARDIA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","GASOLIO DA RISCALDAMENTO IN EXTRARETE - VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","8745,21","3","1","1"
"2018","REGIONI","SICILIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","169751,83","37","1","4"
"2018","REGIONI","TOSCANA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","94059,85","8","1","2"
"2018","REGIONI","CALABRIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","503418,21","7","1","6"
"2018","REGIONI","CAMPANIA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","49282,64","6","1","5"
"2018","REGIONI","PIEMONTE","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","135241,08","4","1","3"
"2018","REGIONI","PIEMONTE","LOMBARDIA","CARBURANTI EXTRARETE 9 E GASOLIO DA RISCALDAMENTO 9","CARBURANTI PER AUTOTRAZIONE IN EXTRARETE - VALLE D'AOSTA, PIEMONTE, LIGURIA, LOMBARDIA","3893","1","1","1"
"2018","REGIONI","PIEMONTE","LOMBARDIA","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","BENZINA SUPER SENZA PIOMBO; GASOLIO AUTOTRAZIONE; GASOLIO AUTOTRAZIONE ?ARTICO? - VALLE D'AOSTA, PIEMONTE, LIGURIA","13646,48","2","1","1"
"2018","REGIONI","SARDEGNA","LOMBARDIA","TELEFONIA MOBILE 6","PRESTAZIONE DEI SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","34238,08","3","1","3"
"2018","COMUNI","LAZIO","LAZIO","ENERGIA ELETTRICA 14","LOTTO 6 - LAZIO","14327965,24","85","67","69"
"2018","COMUNI","LAZIO","LAZIO","ENERGIA ELETTRICA 15","PROVINCIA DI ROMA","15621739,43","49","17","19"
"2018","COMUNI","LAZIO","LAZIO","CARBURANTI RETE - FUEL CARD 6","TOSCANA, UMBRIA, LAZIO, CAMPANIA, SARDEGNA","2176763,66","148","84","116"
"2018","COMUNI","LAZIO","LAZIO","CARBURANTI RETE - BUONI ACQUISTO 7","CARBURANTI RETE MEDIANTE BUONI ACQUISTO","1254160,69","121","61","70"
"2018","COMUNI","LAZIO","LAZIO","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","BENZINA SUPER SENZA PIOMBO; GASOLIO AUTOTRAZIONE; GASOLIO AUTOTRAZIONE ?ARTICO?	- LAZIO, ABRUZZO","3404,88","1","1","1"
