#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Regione_Fornitore,Accordo_Quadro,Lotto,Bene_Servizio,Codice_CPV,Descrizione_CPV,Valore_economico_ordini,N_Ordini,N_PA,N_PO
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ TOMOGRAFI COMPUTERIZZATI (TC) 1","TOMOGRAFI COMPUTERIZZATI (TC) GENERAL PURPOSE","TOMOGRAFI COMPUTERIZZATI","33115000-9","APPARECCHI PER TOMOGRAFIA","240000","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","4393643","8","4","4"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","MARCHE","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","804613,75","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","PUGLIA","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","88324,6","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","VENETO","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","453320","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","1987717,25","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","338270","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","375999","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","734935","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","BASILICATA","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","446428,5","3","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","EMILIA ROMAGNA","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","6130040","5","2","2"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","TRENTINO ALTO ADIGE","EMILIA ROMAGNA","AQ SERVICE DIALISI 2 ","FORNITURA IN SERVICE DI TRATTAMENTI DI EMODIALISI CON TAMPONE BICARBONATO A BASSO ED ALTO FLUSSO (HD) E TRATTAMENTI DI EMODIAFILTRAZIONE ON LINE (HDF ON LINE)","APPARECCHIATURE PER DIALISI","33181000-2","APPARECCHI PER EMODIALISI","336793,75","1","1","1"
"2018","AUTORITA' D'AMBITO, DI BACINO E PORTUALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","594","1","1","1"
"2018","AUTORITA' D'AMBITO, DI BACINO E PORTUALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","17735,54","1","1","1"
"2018","AUTORITA' D'AMBITO, DI BACINO E PORTUALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","1100","1","1","1"
"2018","COMUNI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","61747,99","4","3","3"
"2018","COMUNI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","7700","3","2","2"
"2018","COMUNI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","28170,72","4","3","3"
"2018","COMUNI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","1782","3","2","2"
"2018","COMUNI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","12002,26","4","3","3"
"2018","COMUNI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","1320","3","2","2"
"2018","COMUNI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","4019,16","3","2","2"
"2018","COMUNI","SARDEGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","297","1","1","1"
"2018","COMUNI","SARDEGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","3551,03","1","1","1"
"2018","COMUNI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","17226","8","6","6"
"2018","COMUNI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","82070,25","10","8","8"
"2018","COMUNI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","2860","4","4","4"
"2018","COMUNI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","23634,48","9","7","7"
"2018","COMUNI","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","4101,51","1","1","1"
"2018","COMUNI","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","440","1","1","1"
"2018","COMUNI","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","542,64","1","1","1"
"2018","REGIONI","VENETO","VENETO","AQ ENERGIA ELETTRICA 1","VALLE D?AOSTA, PIEMONTE, LIGURIA, LOMBARDIA, TRENTINO ALTO ADIGE, EMILIA ROMAGNA, VENETO, FRIULI VENEZIA GIULIA","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI",,"13","1","11"
"2018","REGIONI","ABRUZZO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","2523,5","1","1","1"
"2018","REGIONI","LIGURIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","2079","1","1","1"
"2018","REGIONI","LIGURIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","46352","1","1","1"
"2018","REGIONI","LIGURIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","3168","1","1","1"
"2018","PROVINCE","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","31788,16","1","1","1"
"2018","PROVINCE","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","50110,36","1","1","1"
"2018","PROVINCE","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","725,24","1","1","1"
"2018","PROVINCE","TOSCANA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","2970","4","1","1"
"2018","PROVINCE","TOSCANA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","15841,25","4","1","1"
"2018","PROVINCE","TOSCANA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","440","1","1","1"
"2018","PROVINCE","TOSCANA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","5224,92","4","1","1"
"2018","PROVINCE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","2970","1","1","1"
"2018","PROVINCE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","62039,54","4","3","3"
"2018","PROVINCE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","2640","2","2","2"
"2018","PROVINCE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","4640,88","3","2","2"
"2018","AUTORITA' D'AMBITO, DI BACINO E PORTUALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","5518,92","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","594","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","14458,95","2","2","2"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI INSTALLAZIONE DI DISPOSITIVI DI TELECOMUNICAZIONE","45314000-1","INSTALLAZIONE DI DISPOSITIVI DI TELECOMUNICAZIONE","48,4","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","4912,68","2","2","2"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","297","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","5153,04","2","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1387,56","2","1","1"
"2018","AZIENDE ED ENTI DI SERVIZI SOCIO ASSISTENZIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","1188","2","2","2"
"2018","AZIENDE ED ENTI DI SERVIZI SOCIO ASSISTENZIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","7158,73","2","2","2"
"2018","AZIENDE ED ENTI DI SERVIZI SOCIO ASSISTENZIALI","TRENTINO ALTO ADIGE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1608,72","2","2","2"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","183868,52","5","4","4"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","623824,51","8","5","5"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI PRESIDIO NETWORKING E TELEFONIA","72253000-3","SERVIZI DI ASSISTENZA INFORMATICA E DI SUPPORTO","188000,16","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","9012,4","5","4","4"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","274329,72","6","4","4"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","29801,4","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","419756,12","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI PRESIDIO NETWORKING E TELEFONIA","72253000-3","SERVIZI DI ASSISTENZA INFORMATICA E DI SUPPORTO","85999,92","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","PUGLIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","18131","1","1","1"
