#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Provincia_PA,Sigla_provincia_PA,Regione_Fornitore,Convenzione,Lotto,bene_servizio,codice_CPV,descrizione_CPV,Numero_Ordini,Importo_Ordinato,N_PA,N_fornitori,N_PO
"2020","CAMERE DI COMMERCIO","CALABRIA","REGGIO DI CALABRIA","RC","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","1518,61","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","NAPOLI","NA","LAZIO","BUONI PASTO 8","CAMPANIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","76300","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","AVELLINO","AV","LAZIO","BUONI PASTO 8","CAMPANIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","38150","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","BUONI PASTO 8","CAMPANIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","4905","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","NAPOLI","NA","LAZIO","ENERGIA ELETTRICA 17","CAMPANIA","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI","1","0","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","SALERNO","SA","LAZIO","ENERGIA ELETTRICA 17","CAMPANIA","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI","1","0","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","AVELLINO","AV","LAZIO","ENERGIA ELETTRICA 17","CAMPANIA","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI","1","0","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","NAPOLI","NA","LAZIO","STAMPANTI 15","STAMPANTI DI RETE B/N A/4","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","1080","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","STAMPANTI 15","STAMPANTI DI RETE B/N A/4","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","1620","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","STAMPANTI 15","STAMPANTI DI RETE A3/A4 A COLORI","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","1140","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","2281,12","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","105,6","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A3/A4 A COLORI","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","3102,09","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","PC PORTATILI E TABLET 3","C PORTATILI PER ALTA (FASCIA A) E ALTISSIMA (FASCIA B) MOBILITÀ","NOTEBOOK ELETTRONICI","30213100-6","COMPUTER PORTATILI","1","1015","1","1","1"
"2020","CAMERE DI COMMERCIO","CAMPANIA","BENEVENTO","BN","LAZIO","PC PORTATILI E TABLET 3","C PORTATILI PER ALTA (FASCIA A) E ALTISSIMA (FASCIA B) MOBILITÀ","ESTENSIONE ASSISTENZA E MANUTENZIONE IN GARANZIA","50310000-1","MANUTENZIONE E RIPARAZIONE DI MACCHINE PER UFFICIO","1","39,6","1","1","1"
"2020","CAMERE DI COMMERCIO","PIEMONTE","ASTI","AT","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","484,6","1","1","1"
"2020","CAMERE DI COMMERCIO","PIEMONTE","ASTI","AT","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","90","1","1","1"
"2020","CAMERE DI COMMERCIO","PIEMONTE","ASTI","AT","LAZIO","STAMPANTI 17","STAMPANTI DI RETE A/4 B/N","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","1260","1","1","1"
"2020","CAMERE DI COMMERCIO","SARDEGNA","NUORO","NU","LAZIO","BUONI PASTO 8","LAZIO, MARCHE, UMBRIA, ABRUZZO, MOLISE, SARDEGNA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","9660","1","1","1"
"2020","CAMERE DI COMMERCIO","SARDEGNA","SASSARI","SS","LAZIO","BUONI PASTO 8","LAZIO, MARCHE, UMBRIA, ABRUZZO, MOLISE, SARDEGNA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","423","1","1","1"
"2020","CAMERE DI COMMERCIO","LOMBARDIA","MANTOVA","MN","LAZIO","STAMPANTI 16","STAMPANTI DI RETE A3/A4 A COLORI ","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","1","765,36","1","1","1"
"2020","CAMERE DI COMMERCIO","LOMBARDIA","MANTOVA","MN","LAZIO","STAMPANTI 17","STAMPANTI PER USO PERSONALE A4 B/N","STAMPANTI LASER/LED","30232110-8","STAMPANTI LASER","1","194,4","1","1","1"
"2020","CAMERE DI COMMERCIO","LOMBARDIA","MANTOVA","MN","LAZIO","STAMPANTI 17","STAMPANTI PER USO PERSONALE A4 B/N","SERVIZI OPZIONALI PER ICT","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","VENETO","VENEZIA","VE","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","TERMINALI INTERATTIVI","30231100-8","TERMINALI INFORMATICI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","VENETO","VENEZIA","VE","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","2","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","VENETO","VICENZA","VI","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","BUONI PASTO 8","LIGURIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","34260","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","TERMINALI INTERATTIVI","30231100-8","TERMINALI INFORMATICI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","FOTOCOPIATRICI - ACCESSORI","30121200-5","FOTOCOPIATRICI","1","457,6","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","SERVIZI OPZIONALI PER FOTOCOPIATRICI","30121200-5","FOTOCOPIATRICI","1","51,52","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","5143,68","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A4, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","FOTOCOPIATRICI - ACCESSORI","30121200-5","FOTOCOPIATRICI","1","218,88","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A4, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","SERVIZI OPZIONALI PER FOTOCOPIATRICI","30121200-5","FOTOCOPIATRICI","1","5,6","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE A COLORI, FORMATO A4, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","2122,08","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 31 (FASCIA ALTA)","MULTIFUNZIONE A3 A COLORI PER GRUPPI DI MEDIE E GRANDI DIMENSIONI, CON VELOCITÀ 45 PAGINE/MINUTO","FOTOCOPIATRICI - ACCESSORI","30121200-5","FOTOCOPIATRICI","1","184","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 31 (FASCIA ALTA)","MULTIFUNZIONE A3 A COLORI PER GRUPPI DI MEDIE E GRANDI DIMENSIONI, CON VELOCITÀ 45 PAGINE/MINUTO","SERVIZI OPZIONALI PER FOTOCOPIATRICI","30121200-5","FOTOCOPIATRICI","3","824","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","FOTOCOPIATRICI MULTIFUNZIONE 31 (FASCIA ALTA)","MULTIFUNZIONE A3 A COLORI PER GRUPPI DI MEDIE E GRANDI DIMENSIONI, CON VELOCITÀ 45 PAGINE/MINUTO","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","3","26156,8","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","RETI LOCALI 6","PAL ZONA NORD:  PIEMONTE, VALLE D'AOSTA, LIGURIA, LOMBARDIA, TRENTINO ALTO ADIGE, VENETO, FRIULI VENEZIA GIULIA, EMILIA ROMAGNA","SERVIZI PER RETI LOCALI","32410000-0","RETE LOCALE","1","500","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","LIGURIA","GENOVA","GE","LOMBARDIA","RETI LOCALI 6","PAL ZONA NORD:  PIEMONTE, VALLE D'AOSTA, LIGURIA, LOMBARDIA, TRENTINO ALTO ADIGE, VENETO, FRIULI VENEZIA GIULIA, EMILIA ROMAGNA","ARMADI RACK 19'' E ACCESSORI","30236000-2","APPARECCHIATURA INFORMATICA VARIA","1","700,14","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","SICILIA","PALERMO","PA","LOMBARDIA","BUONI PASTO 8","SICILIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","2","66318","2","1","2"
"2020","ASSOCIAZIONI E FONDAZIONI","SICILIA","CATANIA","CT","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","TERMINALI INTERATTIVI","30231100-8","TERMINALI INFORMATICI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","SICILIA","CATANIA","CT","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","TOSCANA","PISA","PI","LOMBARDIA","STAMPANTI 17","APPARECCHIATURE MULTIFUNZIONE A4 B/N","MULTIFUNZIONE","30121100-4","FOTOCOPIATRICI","3","687,6","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","TOSCANA","PISA","PI","LOMBARDIA","STAMPANTI 17","APPARECCHIATURE MULTIFUNZIONE A4 B/N","BENI OPZIONALI PER STAMPANTI","30124000-4","PARTI E ACCESSORI DI MACCHINE PER UFFICIO","3","476,8","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","TOSCANA","PISA","PI","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","TERMINALI INTERATTIVI","30231100-8","TERMINALI INFORMATICI","5","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","TOSCANA","PISA","PI","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","5","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","CALABRIA","CATANZARO","CZ","LOMBARDIA","BUONI PASTO 8","CALABRIA","BUONI PASTO","55510000-8","SERVIZI DI MENSA","1","2184","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","CAMPANIA","NAPOLI","NA","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","TERMINALI INTERATTIVI","30231100-8","TERMINALI INFORMATICI","1","0","1","1","1"
"2020","ASSOCIAZIONI E FONDAZIONI","CAMPANIA","NAPOLI","NA","LOMBARDIA","TELEFONIA MOBILE 7","SERVIZI DI TELEFONIA MOBILE PER LE PUBBLICHE AMMINISTRAZIONI","SERVIZI DI TELEFONIA MOBILE","64212000-5","SERVIZI DI TELEFONIA MOBILI","3","0","2","1","2"
"2020","UNIVERSITA' E POLITECNICI","VENETO","PADOVA","PD","VENETO","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","GASOLIO DA RISCALDAMENTO; GASOLIO DA RISCALDAMENTO  ARTICO 	- FRIULI VENEZIA GIULIA, TRENTINO ALTO ADIGE, VENETO","COMBUSTIBILI PER RISCALDAMENTO","09100000-0","COMBUSTIBILI","4","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","VENETO","PADOVA","PD","VENETO","CARBURANTI EXTRARETE 10 E GASOLIO DA RISCALDAMENTO 10","BENZINA SUPER SENZA PIOMBO; GASOLIO AUTOTRAZIONE; GASOLIO AUTOTRAZIONE  ARTICO  - FRIULI VENEZIA GIULIA, TRENTINO ALTO ADIGE, VENETO","CARBURANTI","09130000-9","PETROLIO E DISTILLATI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PIEMONTE","TORINO","TO","LIGURIA","ENERGIA ELETTRICA 16","VALLE D AOSTA, PIEMONTE","ENERGIA ELETTRICA","65300000-6","EROGAZIONE DI ENERGIA ELETTRICA E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","LAZIO","ROMA","RM","TOSCANA","GAS NATURALE 12","LAZIO","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","SICILIA","MESSINA","ME","TOSCANA","GAS NATURALE 12","CALABRIA, SICILIA","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","TOSCANA","LUCCA","LU","TOSCANA","GAS NATURALE 12","TOSCANA, UMBRIA, MARCHE","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","TOSCANA","SIENA","SI","TOSCANA","GAS NATURALE 12","TOSCANA, UMBRIA, MARCHE","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","CAMPANIA","BENEVENTO","BN","TOSCANA","GAS NATURALE 11","CAMPANIA, PUGLIA, BASILICATA","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PIEMONTE","TORINO","TO","TOSCANA","GAS NATURALE 11","VALLE D AOSTA, PIEMONTE, LIGURIA","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PIEMONTE","VERCELLI","VC","TOSCANA","GAS NATURALE 12","VALLE D AOSTA, PIEMONTE, LIGURIA","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","LOMBARDIA","MILANO","MI","TOSCANA","GAS NATURALE 11","LAZIO","GAS NATURALE","65200000-5","EROGAZIONE DI GAS E SERVIZI CONNESSI","1","0","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","LAZIO","ROMA","RM","PIEMONTE","PC PORTATILI E TABLET 3","PC PORTATILI PER BASSA MOBILITÀ","NOTEBOOK ELETTRONICI","30213100-6","COMPUTER PORTATILI","2","816,18","2","1","2"
"2020","UNIVERSITA' E POLITECNICI","LAZIO","ROMA","RM","PIEMONTE","PC PORTATILI E TABLET 3","PC PORTATILI PER BASSA MOBILITÀ","ESTENSIONE ASSISTENZA E MANUTENZIONE IN GARANZIA","50310000-1","MANUTENZIONE E RIPARAZIONE DI MACCHINE PER UFFICIO","2","28,36","2","1","2"
"2020","UNIVERSITA' E POLITECNICI","MARCHE","ANCONA","AN","PIEMONTE","PC PORTATILI E TABLET 3","PC PORTATILI PER BASSA MOBILITÀ","NOTEBOOK ELETTRONICI","30213100-6","COMPUTER PORTATILI","1","1224,27","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","MARCHE","ANCONA","AN","PIEMONTE","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE MONOCROMATICHE, FORMATO A4, PER GRUPPI DI LAVORO DI MEDIE DIMENSIONI","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","1552","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","MARCHE","MACERATA","MC","PIEMONTE","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE MONOCROMATICHE, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIO-ALTE DIMENSIONI","SERVIZI OPZIONALI PER FOTOCOPIATRICI","30121200-5","FOTOCOPIATRICI","1","20","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","MARCHE","MACERATA","MC","PIEMONTE","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE MONOCROMATICHE, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIO-ALTE DIMENSIONI","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","2920","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PUGLIA","FOGGIA","FG","PIEMONTE","FOTOCOPIATRICI MULTIFUNZIONE 31 (FASCIA ALTA)","MULTIFUNZIONE A3 MONOCROMATICHE PER GRUPPI DI MEDIE E GRANDI DIMENSIONI, CON VELOCITÀ 60 PAGINE/MINUTO","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","2476","1","1","1"
"2020","UNIVERSITA' E POLITECNICI","PUGLIA","LECCE","LE","PIEMONTE","FOTOCOPIATRICI MULTIFUNZIONE 30 (FASCIA MEDIA)","APPARECCHIATURE MULTIFUNZIONE MONOCROMATICHE, FORMATO A3, PER GRUPPI DI LAVORO DI MEDIO-ALTE DIMENSIONI","FOTOCOPIATRICI E MULTIFUNZIONE (NOLEGGIO)","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1","4080","1","1","1"
