cod_amm	cod_ou	cod_uni_ou	des_ou	regione	provincia	comune	indirizzo	cap	cf	dt_verifica_cf	data_avvio_nso
056	TEC	IQDQP3	INGEGNARIA IMPIANTISTICA ED EDILE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	UL	TK7N0Y	UFFICIO LEGALE	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
056	VET	IZHWHH	VETERINARIO	Lazio	VT	Viterbo	VIA ENRICO FERMI 15	01100	01455570562	2020-01-24	2020-01-24
058	ft_abs	HGXTFB	FATTURE ACQUISTO BENI E SERVIZI	Lazio	RM	Tivoli	VIA ACQUAREGNA, 1-15	00019	04733471009	2020-01-17	2020-01-17
092	ECO1	AWCALE	AOB - Cassa Economale PO San Michele	Sardegna	CA	Cagliari	Piazzale A. Ricchi n.1	09134	02315520920	2020-01-27	2020-01-27
092	ECO2	35ZREC	AOB - Economato Servizio Manutenzioni	Sardegna	CA	Cagliari	Piazzale A. Ricchi n.1	09134	02315520920	2020-01-27	2020-01-27
092	ECO3	C3LYGA	AOB - Cassa Economale PP. OO. Businco e Cao	Sardegna	CA	Cagliari	Via Jenner sn	09121	02315520920	2020-01-27	2020-01-27
092	ECO4	EYZSAL	AOB - Economato P. O. San Michele	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-02-04	2020-02-04
092	ECO5	01WH3P	AOB - Economato PP. OO. Businco e Cao	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-02-04	2020-02-04
092	FARMBUS	VN4M67	AOB - Magazzino Farmacia Businco Cao	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-01-27	2020-01-27
092	FARMSM	3DQCON	AOB - Magazzino Farmacia San Michele	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-01-27	2020-01-27
092	GESTIMM	81D4T3	AOB - SC Gestione Immobili Impianti e Nuove Realizzazioni	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-01-27	2020-01-27
092	MAGVIVERI	HYYBIW	AOB - Magazzino Viveri	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-01-27	2020-01-27
092	PATR	ZHWSHG	AOB - SC Patrimonio e Logistica	Sardegna	CA	Cagliari	P.le Ricchi 1	09121	02315520920	2020-01-27	2020-01-27
093	Uff_Ordini_CONSUMI	75J3I8	Ufficio Ordini CONSUMI	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_INVESTIMENTI	0JU2BW	Ufficio Ordini INVESTIMENTI	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_SERVIZI	5HMB6G	Ufficio Ordini SERVIZI	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_TECNICO_OSP_PN	RPG4ZB	Ufficio Ordini TECNICO OSPEDALE PN	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_TECNICO_OSP_SV_SP	DUGQZY	Ufficio Ordini TECNICO OSPEDALE S.VITO-SPILIMBERGO	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_TECNICO_TERR	AR54C2	Ufficio Ordini TECNICO TERRITORIO	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
093	Uff_Ordini_TECNOLOGIE	OYAUDV	Ufficio Ordini TECNOLOGIE	Friuli Venezia Giulia	PN	Pordenone	Via Vecchia Ceramica, 1	33170	01772890933	2020-01-20	2020-01-20
a1_025	Ordini_NSO_ULSS1	KF2A5J	Ordini_NSO_ULSS1	Veneto	BL	Belluno	Via Feltre, 57	32100	00300650256	2019-10-25	2019-10-25
a1_ss	ASSL6-economo_sgavino	WQ2SF0	ASSL6-economo_sgavino	Sardegna	VS	San Gavino Monreale	via roma	09037	92005870909	2020-02-10	2020-02-10
a1_ss	ASSL8-CE_7	35M2O2	ASSL8-Cassa Economale Servizio Tecnico	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-03-16	2020-03-16
a1_ss	UO_ATS_ASSL1_DISTR_AL	0N9ZMZ	ASSL1 UFFICIO ORDINANTE DISTRETTO DI ALGHERO	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_DISTR_OZ	057L5R	ASSL1 UFFICIO ORDINANTE DISTRETTO DI OZIERI	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_DISTR_SS	V3IC5A	ASSL1 UFFICIO ORDINANTE DISTRETTO DI SASSARI	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_FARMOSP_AL	MINE96	ASSL1 UFFICIO ORDINANTE FARMACIA OSPEDALIERA ALGHERO	Sardegna	SS	Alghero	Via Don Minzoni	07041	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_FARMOSP_OZ	RRVB78	ASSL1 UFFICIO ORDINANTE FARMACIA OSPEDALIERA OZIERI	Sardegna	SS	Ozieri	Via Colle Cappuccini	07014	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_FARMTER_AL	1AX3G2	ASSL1 UFFICIO ORDINANTE FARMACIA TERRITORIALE ALGHERO	Sardegna	SS	Sassari	Via Zanfarino, 44	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_FARMTER_OZ	IPL0EY	ASSL1 UFFICIO ORDINANTE FARMACIA TERRITORIALE OZIERI	Sardegna	SS	Sassari	Via Zanfarino, 44	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_FARMTER_SS	YT73LB	ASSL1 UFFICIO ORDINANTE FARMACIA TERRITORIALE SASSARI	Sardegna	SS	Sassari	Via Zanfarino, 44	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_GIURAMM	6Y9OYA	ASSL1 - Servizio Giuridico-Amministrativo di Area	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_PROT_AL	6D240O	ASSL1 UFFICIO ORDINANTE PROTESICA ALGHERO	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL1_PROT_OZ	5Q7C15	ASSL1 UFFICIO ORDINANTE PROTESICA OZIERI	Sardegna	SS	Ozieri	Via Colle Cappuccini	07014	92005870909	2020-02-20	2020-02-20
a1_ss	UO_ATS_ASSL1_PROT_SS	GWC0CW	ASSL1 UFFICIO ORDINANTE PROTESICA SASSARI	Sardegna	SS	Sassari	Via Catalocchino, 11	07100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_DISTR_OL	D4ZMKA	ASSL2 UFFICIO ORDINANTE DISTRETTO DI OLBIA	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_DISTR_TM	9KAWEK	ASSL2 UFFICIO ORDINANTE DISTRETTO DI TEMPIO	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_FARMOSP_OL	QHOPDA	ASSL2 UFFICIO ORDINANTE FARMACIA OSPEDALIERA OLBIA	Sardegna	OT	Olbia	Via Bazzoni Sircana, 2 (c/o Ospedale G.Paolo II)	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_FARMOSP_TM	3KLZCS	ASSL2 UFFICIO ORDINANTE FARMACIA OSPEDALIERA TEMPIO	Sardegna	OT	Olbia	Via Grazia Deledda, 19 (c/o Ospedale P. Dettori Tempio)	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_FARMTER_OL	G5OZGA	ASSL2 UFFICIO ORDINANTE FARMACIA TERRITORIALE OLBIA	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_GIURAMM	8DY102	ASSL2 - Servizio Giuridico-Amministrativo di Area	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_PO_OL	NGP7CX	ASSL2 UFFICIO ORDINANTE PRESIDIO OSPEDALIERO OLBIA	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_PO_TM	H27685	ASSL2 UFFICIO ORDINANTE PRESIDIO OSPEDALIERO TEMPIO	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_PROT_OL	9J2CDN	ASSL2 UFFICIO ORDINANTE PROTESICA OLBIA	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL2_PROT_TM	S36RPI	ASSL2 UFFICIO ORDINANTE PROTESICA TEMPIO	Sardegna	OT	Olbia	Via Bazzoni-Sircana, 2-2a	07026	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_FARMOSP_NU	PLBI1D	ASSL3 UFFICIO ORDINANTE FARMACIA OSPEDALIERA NUORO SAN FRANCESCO	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_FARMTER_MA	FB599N	ASSL3 UFFICIO ORDINANTE FARMACIA TERRITORIALE MACOMER	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_FARMTER_NU	41IMC7	ASSL3 UFFICIO ORDINANTE FARMACIA TERRITORIALE NUORO	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_FARMTER_SI	N6CMAR	ASSL3 UFFICIO ORDINANTE FARMACIA TERRITORIALE SINISCOLA	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_FARMTER_SO	8UQREZ	ASSL3 UFFICIO ORDINANTE FARMACIA TERRITORIALE SORGONO	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_GIURAMM	QQMZWJ	ASSL3 - Servizio Giuridico-Amministrativo di Area	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_PROT_MA	VN0X1B	ASSL3 UFFICIO ORDINANTE PROTESICA MACOMER	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_PROT_NU	W10IB4	ASSL3 UFFICIO ORDINANTE PROTESICA NUORO	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_PROT_SI	CTBP6J	ASSL3 UFFICIO ORDINANTE PROTESICA SINISCOLA	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL3_PROT_SO	1SLCUE	ASSL3 UFFICIO ORDINANTE PROTESICA SORGONO	Sardegna	NU	Nuoro	Via Demurtas, 1	08100	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_CURDOM_LN	NQPM95	ASSL4 UFFICIO ORDINANTE CURE DOMICILIARI	Sardegna	OG	Lanusei	Via Piscinas ,5	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_DISTR_LN	Y513WR	ASSL4 UFFICIO ORDINANTE DISTRETTO DI LANUSEI	Sardegna	OG	Lanusei	Via Piscinas ,5	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_FARMOSP_LN	08W14Z	ASSL4 UFFICIO ORDINANTE FARMACIA OSPEDALIERA LANUSEI	Sardegna	OG	Lanusei	Via Ospedale	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_FARMTER_LN	6DXH0J	ASSL4 UFFICIO ORDINANTE FARMACIA TERRITORIALE LANUSEI	Sardegna	OG	Lanusei	Via Ospedale	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_PO_LN	KTSQB8	ASSL4 UFFICIO ORDINANTE PRESIDIO OSPEDALIERO LANUSEI	Sardegna	OG	Lanusei	Via Piscinas ,5	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_PROT_LN	R6EZPI	ASSL4 UFFICIO ORDINANTE PROTESICA LANUSEI	Sardegna	OG	Lanusei	Via Piscinas ,5	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL4_STAFF	Q3415O	ASSL4 - SC Ufficio di Staff ASSL Lanusei	Sardegna	OG	Lanusei	Via Piscinas ,5	08045	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_DISTR_AT	1T1RF0	ASSL5 UFFICIO ORDINANTE DISTRETTO ALES	Sardegna	OR	Oristano	Via Carducci n. 35	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_DISTR_GB	JL8R6Y	ASSL5 UFFICIO ORDINANTE DISTRETTO GHILARZA	Sardegna	OR	Oristano	Via Carducci n. 35	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_DISTR_OR	HZS8YA	ASSL5 UFFICIO ORDINANTE DISTRETTO ORISTANO	Sardegna	OR	Oristano	Via Carducci n. 35	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_FARMOET_OR	9AVASJ	ASSL5 UFFICIO ORDINANTE FARMACIA OSPEDALIERA E TERRITORIALE ORISTANO	Sardegna	OR	Oristano	Via Rockefeller, 4	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_GIURAMM	G94DN2	ASSL5 - Servizio Giuridico-Amministrativo di Area	Sardegna	OR	Oristano	Via Carducci n. 35	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_PPOO_OR	87V65X	ASSL5 UFFICIO ORDINANTE PRESIDI OSPEDALIERI ASSL ORISTANO	Sardegna	OR	Oristano	Via Carducci n. 35	09170	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL5_PROT_AT	UP0G7S	ASSL5 UFFICIO ORDINANTE PROTESICA ALES-TERRALBA	Sardegna	OR	Oristano	Via Carducci, 41	09170	92005870909	2020-02-20	2020-02-20
a1_ss	UO_ATS_ASSL5_PROT_GB	ZQECCL	ASSL5 UFFICIO ORDINANTE PROTESICA GHILARZA-BOSA	Sardegna	OR	Oristano	Via Carducci, 41	09170	92005870909	2020-02-20	2020-02-20
a1_ss	UO_ATS_ASSL5_PROT_OR	2DSHTZ	ASSL1 UFFICIO ORDINANTE PROTESICA ORISTANO	Sardegna	OR	Oristano	Via Carducci, 41	09170	92005870909	2020-02-20	2020-02-20
a1_ss	UO_ATS_ASSL6	5WMOHX	ASSL6 - Direzione Area Socio Sanitaria Sanluri	Sardegna	VS	Sanluri	Via Ungaretti, 9	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_DAP	UMJTLS	ASSL6 Dipartimento Attivita Ospedaliere	Sardegna	VS	Sanluri	Via Ungaretti, 9	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_FARMOSP_SA	HLM8EN	ASSL6 UFFICIO ORDINANTE FARMACIA OSPEDALIERA SANLURI	Sardegna	VS	Sanluri	Via Bologna, 13	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_FARMTER_GU	0L4SIF	ASSL6 UFFICIO ORDINANTE FARMACIA TERRITORIALE GUSPINI	Sardegna	VS	Sanluri	Via Bologna, 13	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_FARMTER_SA	9FBGT9	ASSL6 UFFICIO ORDINANTE FARMACIA TERRITORIALE SANLURI	Sardegna	VS	Sanluri	Via Bologna, 13	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_PO_SANLURI	1JRTW4	ASSL6 Direzione POU Sanluri	Sardegna	VS	Sanluri	Via Ungaretti, 9	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_PROT_GU	X54B9Z	ASSL6 UFFICIO ORDINANTE PROTESICA GUSPINI	Sardegna	VS	Sanluri	Via Ungaretti, 9	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL6_PROT_SA	KBE25F	ASSL6 UFFICIO ORDINANTE PROTESICA SANLURI	Sardegna	VS	Sanluri	Via Ungaretti, 9	09025	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_ADI_CAR	K037YT	ASSL7 UFFICIO ORDINANTE ADI CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_ADI_IGL	2T5APW	ASSL7 UFFICIO ORDINANTE ADI IGLESIAS	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_CASECO_PPOO	PXIRXF	ASSL7 UFFICIO ORDINANTE CASSA ECONOMALE PRESIDI OSPEDALIERI CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_CASECO_TERR	GN76QP	ASSL7 UFFICIO ORDINANTE CASSA ECONOMALE TERRITORIO CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_DISTR_CAR	TYE3YI	ASSL7 UFFICIO ORDINANTE DISTRETTO CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_DISTR_IGL	PGBIVO	ASSL7 UFFICIO ORDINANTE DISTRETTO IGLESIAS	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_FARMOSP_CR	89OUMK	ASSL7 UFFICIO ORDINANTE FARMACIA OSPEDALIERA CARBONIA	Sardegna	CI	Carbonia	Via Costituente	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_FARMTER_CR	R75YNP	ASSL7 UFFICIO ORDINANTE FARMACIA TERRITORIALE CARBONIA	Sardegna	CI	Carbonia	Via Costituente	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PO_CAR	RPGTR8	ASSL7 UFFICIO ORDINANTE PRESIDIO OSPEDALIERO SIRAI CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PO_IGL	EU3UWW	ASSL7 UFFICIO ORDINANTE PRESIDIO OSPEDALIERO CTO IGLESIAS	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PROT_CAR	442G3C	ASSL7 UFFICIO ORDINANTE PROTESICA CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PROT_IGL	OU1MR4	ASSL7 UFFICIO ORDINANTE PROTESICA Iglesias	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PROT_ISOLE	VRDJTX	ASSL7 UFFICIO ORDINANTE PROTESICA Isole ASL7	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PUA_CAR	8YNQ9R	ASSL7 UFFICIO ORDINANTE PUA UVT CARBONIA	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL7_PUA_IGL	ALII8O	ASSL7 UFFICIO ORDINANTE PUA UVT IGLESIAS	Sardegna	CI	Carbonia	Via Dalmazia, 83	09013	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR1	KO2Y18	ASSL8 UFFICIO ORDINANTE DISTRETTO 1	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR1_PROT	FM3XAA	ASSL8 UFFICIO ORDINANTE PROTESICA DISTRETTO 1	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR2	9VL3OH	ASSL8 UFFICIO ORDINANTE DISTRETTO 2	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR2_PROT	STBWI0	ASSL8 UFFICIO ORDINANTE PROTESICA DISTRETTO 2	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR3	0ZSGDU	ASSL8 UFFICIO ORDINANTE DISTRETTO 3	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR3_PROT	5OBBZR	ASSL8 UFFICIO ORDINANTE PROTESICA DISTRETTO 3	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR4	M1BNAU	ASSL8 UFFICIO ORDINANTE DISTRETTO 4	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR4_PROT	3AVSRA	ASSL8 UFFICIO ORDINANTE PROTESICA DISTRETTO 4	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR5	BJF8X2	ASSL8 UFFICIO ORDINANTE DISTRETTO 5	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_DISTR5_PROT	YKW4BN	ASSL8 UFFICIO ORDINANTE PROTESICA DISTRETTO 5	Sardegna	CA	Selargius	Via Piero della Francesca, 1	09047	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_FARMOSP_BIN	X2R3PC	ASSL8 UFFICIO ORDINANTE FARMACIA OSPEDALIERA BINAGHI	Sardegna	CA	Cagliari	Via Romagna, 16	09127	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_FARMOSP_MAR	6GTCSD	ASSL8 UFFICIO ORDINANTE FARMACIA OSPEDALIERA MARINO	Sardegna	CA	Cagliari	Via Romagna, 16	09127	92005870909	2020-01-29	2020-01-30
a1_ss	UO_ATS_ASSL8_FARMOSP_SMA	Y7L73D	ASSL8 UFFICIO ORDINANTE FARMACIA OSPEDALIERA SAN MARCELLINO	Sardegna	CA	Cagliari	Via Romagna, 16	09127	92005870909	2020-01-29	2020-01-30
