cod_amm	prg_srv_amm	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
abucf	1	Amministrazione beni di uso civico della Frazione Monte di Fuori	Amministrazione beni di uso civico della Frazione Monte di Fuori				altro
abucfmdm	1	Amministrazione dei beni della Frazione Monte di Mezzo	Amministrazione dei beni della Frazione Monte di Mezzo			fraktionmitterberg@rolmail.net	altro
aca_av	1	UFFICIO SOCI	ASSOCIAZIONISMO	082536459	http://www.aci.it/il-club.html	av002@delegazioni.aci.it	altro
aca_av	2	tasse	assistenza e pagamento bollo auto	082536459	http://www.aci.it/i-servizi/servizi-online/bollo-auto.html	av002@delegazioni.aci.it	altro
aca_av	3	Assistenza automobilistica	assistenza alla circolazione dei veicoli a motore	082536459		av002@delegazioni.aci.it	altro
aca_av	4	Ufficio sportivo	emissione licenze CSAI	082536459		av002@delegazioni.aci.it	altro
acbr	1	TESSERE ACI	associazione e rinnovo tessera	0832583054		acibri@libero.it	altro
acbr	2	RISCOSSIONE TASSE AUTOMOBILISTICHE	primo pagamento per veicoli nuovi e pagamenti successivi tassa di proprieta/circolazione	0831583054		acibri@libero.it	altro
acbr	3	LICENZE SPORTIVE CSAI	rilascio/rinnovo licenze sportive CSAI	0831583054		acibri@libero.it	altro
acbr	4	PRATICHE AUTOMOBILISTICHE	disbrigo pratiche automobilistiche	0831583054		acibri@libero.it	altro
acc_ct	1	Servizio  tasse automobilistiche	Riscossione e assistenza tasse automobilistiche			acsocitasse@catania.aci.it	altro
aci	1	Associazione ACI	Associazione all'ACI on line con pagamento tramite carta di credito	800313535	http://www.aci.it/il-club/il-club-e-i-suoi-vantaggi/le-tessere-aci.html	infosoci@aci.it	altro
aci	10	Verifica Estratto Cronologico PRA	Per controllare online l'autenticita' dei certificati cronologici dei veicoli, a far data dal 18/05/2015, verificandone l'effettiva provenienza dall'archivio del Pubblico Registro Automobilistico		http://www.aci.it/i-servizi/servizi-online.html	visurenet@aci.it	altro
aci	11	Consulta Atto e Nota Digitale	Per consultare online l'Atto di Vendita Digitale (nei casi in cui venga richiesta la trascrizione di un passaggio di proprieta') o la 'Nota' di formalita' digitale		http://www.aci.it/i-servizi/servizi-online.html	cdpdigitale@aci.it	altro
aci	12	Consulta CdP Digitale	Per consultare online il Certificato di Proprieta' Digitale emesso dal Pubblico Registro Automobilistico		http://www.aci.it/i-servizi/servizi-online.html	cdpdigitale@aci.it	altro
aci	2	Calcola il bollo	Per sapere l'importo del bollo auto inserendo la targa del veicolo e il tipo di pagamento		http://www.aci.it/i-servizi/servizi-online.html	infobollo@aci.it	altro
aci	3	Paga il bollo	Servizio disponibile per i residenti nelle Province Autonome di Bolzano e di Trento e nelle Regioni Abruzzo, Basilicata, Calabria, Campania, Emilia Romagna, Lazio, Liguria, Lombardia, Molise, Puglia, Toscana, Sicilia, Umbria e Valle d'Aosta		http://www.aci.it/i-servizi/servizi-online.html	bollonet@aci.it	altro
aci	4	Visure PRA	Per conoscere le informazioni sullo stato giuridico attuale del veicolo risultante dall'archivio del Pubblico Registro Automobilistico (PRA), effettuando il pagamento online. La visura non costituisce certificazione		http://www.aci.it/i-servizi/servizi-online.html	visurenet@aci.it	altro
aci	5	Costi Chilometrici	Per calcolare i rimborsi (al dipendente o al professionista) che faccia uso del proprio veicolo svolgendo attivita' a favore del datore di lavoro		http://www.aci.it/i-servizi/servizi-online.html	infostat@aci.it	altro
aci	6	Fringe Benefit	Per calcolare la retribuzione in natura derivante dalla concessione di veicoli aziendali in uso ai dipendenti, per esigenze di lavoro e per esigenze private		http://www.aci.it/i-servizi/servizi-online.html	infostat@aci.it	altro
aci	7	Acquisti on line	Possibilita' di partecipare on line alle gare di acquisto di beni e servizi	800090909	www.acquistionlineaci.it		altro
aci	8	PRA per utenti professionali	Servizi per l'accesso ai dati contenuti nel Pubblico Registro Automobilistico (PRA) e per la loro estrazione in forma variamente aggregata		http://www.aci.it/i-servizi/servizi-online.html	ufficioservizialleppaaemercatoautomotive@aci.it	altro
aci	9	Richiedi Estratto Cronologico PRA	Per ottenere, effettuando il pagamento on line, il certificato 'estratto cronologico generale del veicolo' rilasciato dall'archivio del PRA contenente l'elenco di tutte le formalita' (ad es: trasferimento della proprieta', perdita del possesso, radiazione) annotate sul veicolo a partire dalla sua prima iscrizione		http://www.aci.it/i-servizi/servizi-online.html	visurenet@aci.it	altro
aciepo	1	Protocollo Informatico	Adesione protocollo informatico	0125641663		acivrea@gmail.com	altro
aci_ba	1	AUTOMOBILE CLUB BARI	rinnovo patenti auto	0805534901	www.bari.aci.it	praticheautomobilistiche@bari.aci.it	altro
aci_ba	2	AUTOMOBILE CLUB BARI	pagamento tasse automobilistiche	0805534901	www.bari.aci.it	praticheautomobilistiche@bari.aci.it	altro
aci_ba	3	AUTOMOBILE CLUB BARI	passaggi di prorieta' e pratiche auto	0805534901	www.bari.aci.it	praticheautomobiliastiche@bari.aci.it	altro
acmt	1	TESSERE ACI	NUOVE ASSOCIAZIONI E RINNOVI	0835382322		acmatera@tin.it	altro
acmt	2	TASSE AUTOMOBILISTICHE	riscossione e assistenza	0835382322		acmatera@tin.it	altro
acmt	3	scuola guida	patenti e visite mediche	0835382322		acmatera@tin.it	altro
acm_me	1	Servizo Assistenza pratiche automobilistiche	Sportello Telematico dell'Automobilista	0902932111	http://www.messina.aci.it/	automobileclub@messina.aci.it	altro
acm_me	2	Servizo Riscossione Tasse automobilistiche	Riscossione tasse per conto Regione Siciliana	0902932111	http://www.messina.aci.it/	automobileclub@messina.aci.it	altro
acm_me	3	Servizo Soci ACI	Iscrizione e rinnovo tesserati ACI	0902932111	http://www.messina.aci.it/	automobileclub@messina.aci.it	altro
acm_me	4	Servizio Rinnovo Patenti	Rinnovo e duplicati patenti	0902932111	http://www.messina.aci.it/	automobileclub@messina.aci.it	altro
acn_063	1	Associazione ACI	Associazione all'ACI on line		http://www.napoli.aci.it/no_cache/il-club/entra-nel-club.html	protocolloacinapoli@gmail.com	altro
acn_no	1	tasse automobilistiche	tasse automobilistiche	032130321		tassenovara@integra.aci.it	altro
acn_no	2	pratiche automobilistiche	pratiche automobilistiche	032130323		assistenzanovara@integra.aci.it	altro
acn_no	3	tessere ACI	tessere ACI	032130324		socinovara@integra.aci.it	altro
acpz	1	TESSERE ACI	Associazione e rinnovo tessere	097156466			altro
acpz	2	TASSE AUTOMOBILISTICHE	Riscossione tasse automobilistiche	097156466			altro
acpz	3	UFFICIO ASSISTENZA AUTOMOBILISTICA	Pratiche automobilistiche PRA e MCTC	097156466			altro
acpz	4	UFFICIO SPORTIVO	Rilascio e rinnovo licenze sportive CSAI	097156466			altro
acp_pe	1	LICENZE SPORTIVE	RILASCIO LICENZE SPORTIVE AUTOMOBILISMO E KART	3333382740		info@pescara.aci.it	altro
acp_pe	2	TESSERE ACI	ASSOCIAZIONISMO ALL'AUTOMOBILE CLUB PESCARA E ACI	085293197	www.aci.it	info@pescara.aci.it	altro
acsp_038	1	U.O. BILANCIO	Area Ragioneria	0532799530		s.massaro@aspfe.it	altro
acsp_038	2	U.O. ECONOMATO	Area Provveditorato	0532799525		d.delaiti@aspfe.it	altro
acs_sr	1	ASSOCIAZIONI ACI	COLLOCAMENTO  PRODOTTI ASSOCIATIVI ACI	093166656	http://www.aci.it/il-club/il-club-e-i-suoi-vantaggi/le-tessere-aci.html?no_cache=1	SR002@DELEGAZIONI.ACI.IT	altro
acs_sr	2	ASSISTENZA AUTOMOBILISTICA	DISBRIGO PRATICHE AUTOMOBILISTICHE, RINNOVO PATENTI, ECC	093166656		SR002@DELEGAZIONI.ACI.IT	altro
acs_sr	3	BOLLO AUTO	BOLLO AUTO	093166656	www.aci.it	SR002@DELEGAZIONI.ACI.IT	altro
acv_vt	1	ASSOCIAZIONE ALL'ACI	RILASCIO/RINNOVO TESSERE SOCIALI ACI	0761324806	http://www.aci.it/il-club/il-club-e-i-suoi-vantaggi/le-tessere-aci.html?no_cache=1	acviterbo@libero.it	altro
acv_vt	2	TASSE AUTOMOBILISTICHE	RISCOSSIONE TASSE AUTOMOBILISTICHE	0761324806	http://www.aci.it/i-servizi/servizi-online/bollo-auto.html	acviterbo@libero.it	altro
acv_vt	3	ASSISTENZA BOLLO	GESTIONE CONTENZIOSI MANCATO PAGAMENTO DEL BOLLO	0761324806		acviterbo@libero.it	altro
acv_vt	4	ESENZIONE DISABILI	ESENZIONE PAGAMENTO BOLLO AUTO PER DISABILI	0761324806		acviterbo@libero.it	altro
acv_vt	5	LICENZE CSAI	RILASCIO/RINNOVO LICENZE SPORTIVE ACI CSAI	0761324806		acviterbo@libero.it	altro
acv_vt	6	CONTRASSEGNI AUTOSTRADALI	VENDITA CONTRASSEGNI AUTOSTRADALI PER SVIZZERA E AUSTRIA	0761324806		acviterbo@libero.it	altro
acv_vt	7	SCUOLA GUIDA	SCUOLA GUIDA METODO ACI READY2GO	0761305602			altro
acv_vt	8	ASSISTENZA AUTOMOBILISTICA	DISBRIGO FORMALITA' PRA E MCTC	0761324806		acviterbo@libero.it	altro
acv_vt	9	SERVIZI ASSICURATIVI	AGENTE GENERALE SARA ASSICURAZIONI SPA PER LA PROVINCIA DI VITERBO	07611710799		agb123@saraagenzie.it	altro
ac_al	1	Sportello Telematico dell'Automobilista	Pratiche Auto	0131260553		acialessandria@tin.it	altro
ac_cs	1	Tessere ACI	Associazione e Rinnovo Tessera	0984394688	http://www.cosenza.aci.it/	automobileclub@cosenza.aci.it	altro
ac_cs	2	Riscossione tasse automobilistiche	Primo pagamento veicolo nuovo e pagamenti successivi tassa di proprieta'/circolazione	0984394688		automobileclub@cosenza.aci.it	altro
ac_cs	3	Licenze Sportive CSAI	Rilascio/Rinnovo licenze sportive CSAI	0984394688		automobileclub@cosenza.aci.it	altro
ac_cs	4	Pratiche Automobilistiche 	Assistenza e consulenza per pratiche automobilistiche	0984394688		automobileclub@cosenza.aci.it	altro
ac_pu	1	TESSERE ACI	ASSOCIAZIONISMO AUTOMOBILE CLUB PESARO E URBINO E ACI	072131838	ww.aci.it	acpesaro@integra.aci.it	altro
ac_pu	2	LICENZE SPORTIVE	RILASCIO LICENZE SPORTIVE AUTO E KART	072131838	www.pesarourbino.aci.it	acpesaro@integra.aci.it	altro
ac_pu	3	RISCOSSIONE TASSE AUTOMOBILISTICHE	RISCOSSIONE E CONSULENZA SU TASSE AUTOMOBILISTICHE	072131838	www.pesarourbino.aci.it	acpesaro@integra.aci.it	altro
ac_pu	4	RINNOVO PATENTI	RINNOVO PATENTI CON MEDICO IN SEDE	072131838	pesarourbino.aci.it	acpesaro@integra.aci.it	altro
ac_pu	5	PRATICHE AUTOMOBILISTICHE (S.T.A.)	TRASFERIMENTI DI PROPRIETA - SPORTELLO TELEMATICO DELL'AUTOMOBILISTA	072131838	pesarourbino.aci.it	acpesaro@integra.aci.it	altro
ac_va	1	PROTOCOLLO	UFFICIO PROTOCOLLO			automobileclubvarese@pec.aci.it	pec
adatolm	1	Servizio Idrico Integrato	Pianificazione e Controllo del Servizio Idrico Integrato	0775884013	http://www.ato5fr.it	segreteria@ato5fr.it	altro
aerom	1	PRENOTA APPUNTAMENTO	Evita inutili attese e perdite di tempo, richiedi l'appuntamento on-line oppure contatta il Call Center al numero verde 800894388 solo da rete fissa italiana o al 06-57131800 da cellulari e dall'estero	800894388	https://appuntamenti.aequaroma.it/qms-web/		altro
aerom	2	Servizi per gli utenti del Patrimonio Immobiliare di Roma Capitale	Il sistema consente di verificare lo stato dei pagamenti e riprodurre copia del bollettino PA	800894388	https://servizipatrimonio.aequaroma.it/		altro
afrstas	1	Protocollo	Servizio di protocollazione da sportello-ufficio in sede o via email	07027991		protocollo.dg@forestas.it	altro
afrstas	2	URP	Uffici per le Relazioni con il pubblico	0702799299		urp@forestas.it	altro
afrstas	3	Albo Pretorio	Albo pretorio On-Line	07027991	http://www.sardegnaambiente.it/foreste/albopretorio/	sardegnaforeste@pec.forestas.it	pec
afrstas	4	Feed RSS	Canale di aggiornamento su Delibere, Bandi, e news	07027991	http://www.sardegnaambiente.it/foreste/feed/		altro
agcom	1	Registro Operatori di Comunicazione (ROC)	La legge istitutiva 31 luglio 1997, n. 249 individua, tra le competenze di questa Autorita'', in particolare all''art, 1, comma 6, lett. a),numeri 5 e 6, la tenuta del Registro unico degli Operatori di comunicazione (di seguito R.O.C.).Il ROC ha la finalita'' di garantire la trasparenza e la pubblicita'' degli assetti proprietari, consentire l''applicazione delle norme concernenti la disciplina anti-concentrazione, la tutela del pluralismo informativo, il rispetto dei limiti previsti per le partecipazioni di societa'' estere.	0817507777	http://www.roc.agcom.it/	inforoc@agcom.it	altro
agcom	2	Pubblicita'' di Amministrazioni ed Enti pubblici	Destinazione della pubblicita'' di Amministrazioni ed Enti pubblici: delibera 30/10/CONS	800185060	http://www.agcom.it/	entipubblici@cert.agcom.it	pec
agcom	3	Informativa Economica di Sistema (IES)	La comunicazione di sistema e'' una dichiarazione annuale cui sono obbligati gli operatori dei settori dell''editoria e della radiodiffusione sonora e televisiva e riguarda i dati anagrafici ed economici sull''attivita'' svolta dagli operatori interessati.L''informativa consente all''Autorita'' di raccogliere gli elementi necessari per adempiere a precisi obblighi di legge quali la verifica delle posizioni dominanti in ambito radiotelevisivo ed editoriale e l''aggiornamento della base statistica degli operatori di comunicazione.Per informazioni: info_ies@agcom.it	800185060	http://www.agcom.it/Default.aspx?message=downloaddocument&DocID=4596	ies@cert.agcom.it	pec
agcom	4	Contributo - settori comunicazioni elettroniche e servizi media 	La delibera n. 722/09/CONS e'' stata adottata in attuazione della legge n. 266 del 23 dicembre 2005 che ha previsto il finanziamento di alcune autorita'' indipendenti mediante contributo a carico dei soggetti operantinel mercato di rispettiva competenza.Obbligati al versamento del contributo sono tutti i soggetti operanti nel settore delle comunicazioni.	800495533	http://www.agcom.it/Default.aspx?message=visualizzadocument&DocID=3818	contributo@cert.agcom.it	pec
agcom	5	Catasto Nazionale delle Frequenze (CNF)	Il censimento delle infrastrutture di radiodiffusione site sulterritorio nazionale istituito, per quanto concerne gli impianti radiotelevisivioperanti nelle bande I-III VHF e IV-V UHF, con delibera 502/06/CONS modificatadalla delibera 666/08/CONS consente la pianificazione delle risorse frequenzialiin vista del passaggio al digitale (DVB-T) previsto per l'anno 2012.	0817507777	http://www.catastofrequenze.agcom.it/	inforoc@agcom.it	altro
agcom	6	PTP	Cabine telefoniche			cabinatelefonica@cert.agcom.it	pec
agcom	7	DDA - Tutela diritto d'autore	Tutela del diritto d'autore  sulle reti di comunicazione	800186056	www.ddaonline.it	dda@cert.agcom.it	pec
agcom	8	Contributo - settore servizi postali (2012, 2013 e 2014)	La misura e le modalita' di versamento dei contributi dovuti all'Autorita' per gli anni 2012, 2013 e 2014 dai soggetti che operano nel settore dei servizi postali, nonche' le relative istruzioni, sono indicate nel decreto 26 gennaio 2015 e nella delibera n. 88/15/CONS.	0817507400	http://www.agcom.it/contributo-settore-servizi-postali	contributosp@cert.agcom.it	pec
agcom	9	Monitoraggio e vigilanza dei mercati postali	Monitoraggio del servizio di recapito postale a giorni alterni	0669644320	http://www.agcom.it/servizi-postali	recapitogiornialterni@cert.agcom.it	pec
agd	1	Albo Fornitori di Beni e Servizi	Database per operatori economici interessati  affidamento di beni e servizi 	0642367301	http://albofornitori.agenziademanio.com/Albo/	dg.albofornitori_beniservizi@agenziademanio.it	altro
agd	2	Albo Esecutori Lavori	Archivio informatico per operatori economici interessati alla realizzazione di interventi edilizi	0642367301	http://albolavori.agenziademanio.com/AlboLavori/	dg.alboesecutorilavori@agenziademanio.it	altro
agd	3	Portale PA	Il Portale PA e' stato predisposto al fine di consentire alle Amministrazioni interessate di adempiere agli obblighi di comunicazione nei confronti dell'Agenzia del Demanio previsti da specifiche disposizioni normative	800800023	https://portalepa.agenziademanio.it/PortalePA/	dg.portalepa@agenziademanio.it	altro
agd	4	Paloma	Applicativo attraverso il quale e' possibile proporre in locazione o in locazione e vendita immobili da destinare al soddisfacimento delle esigenze di spazio delle Amministrazioni Statali	0642367201	https://paloma.agenziademanio.it/	dg.paloma@agenziademanio.it	altro
agdogane	1	EDI	dichiarazioni doganali telematiche		www.agenziadogane.gov.it	dogane.helpdesk.edi@agenziadogane.it	altro
agdogane	2	Intrastat on line	dichiarazioni intrastat telematiche		www.agenziadogane.gov.it	dogane.helpdesk.intra@agenziadogane.it	altro
agdogane	3	URP telematico	ufficio telematico di relazioni con il pubblico		www.agenziadogane.gov.it		altro
age	1	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
age	10	Contatto tecnico registrazioni domini	riferimento tecnico per la registrazione tramite il portale Agid		http://www.agenziaentrate.gov.it/wps/portal/entrate/home	tech-c@pec.agenziaentrate.it	pec
age	2	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
age	3	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
age	4	Call Center	Servizio di assistenza telefonica.	848800444			altro
age	5	Assistenza tramite PEC	Servizio di assistenza sulle comunicazioni di irregolarita' emesse a seguito dell'attivita' di liquidazione automatizzata dei tributi, dedicato agli utenti dei servizi telematici dell'Agenzia delle entrate. Le istruzioni per l'uso e i facsimile di richieste di assistenza sono nell'area autenticata dei siti FISCO ON LINE e ENTRATEL		http://telematici.agenziaentrate.gov.it	dc.sac.controllo_automatizzato@pce.agenziaentrate.it	pec
age	6	Cessione gratuita apparecchiature informatiche dismesse	Ricezione richieste di assegnazione. Attivo esclusivamente nei giorni specificati nei bandi pubblicati sul sito internet dell'Agenzia delle Entrate, sezione Agenzia - Gare - Procedure telematiche per la dismissione di apparecchiature informatiche.		http://www.agenziaentrate.gov.it	cessionigratuite@pec.agenziaentrate.it	pec
age	7	Comunicazioni con gli enti esterni	Scambio di comunicazioni con i soggetti che trasmettono dati all'Anagrafe tributaria.		http://www.agenziaentrate.gov.it	dc.acc.comunicazionipa@pce.agenziaentrate.it	pec
age	8	SISTER	Servizi catastali e di pubblicita' immobiliare per comuni, istituzioni, professionisti e imprese		http://sister.agenziaentrate.gov.it		altro
age	9	Voluntary Disclosure	La -collaborazione volontaria- (voluntary disclosure) strumento che consente ai contribuenti che detengono illecitamente patrimoni esteri di regolarizzare la propria posizione denunciando spontaneamente alla Amministrazione finanziaria la violazione degli obblighi di monitoraggio.		http://www.agenziaentrate.gov.it		altro
agtmsr	1	Pulizie Immobili Comunali	Pulizie Immobili Comunali rivolta agi Enti Soci			info@agtmultiservizi.it	altro
agtmsr	2	Manutenzione Ordinaria Edifici, Verde e Strade Comunali	Manutenzione Ordinaria Edifici, Verde e Strade Comunali rivolta agi Enti Soci			info@agtmultiservizi.it	altro
agtmsr	3	Custodia Cimiteriale	Custodia Cimiteriale rivolta agi Enti Soci			info@agtmultiservizi.it	altro
aidas	1	Accesso Area Riservata Studenti - Borse di Studio	Per accedere alle Domande di borse di studio on-line 2018-19 e per rinnovare la richiesta Servizio Mensa anno 2019	086126311	https://adsute-ol.dirittoallostudio.it/istud/index.php	info@adsuteramo.it	altro
aimcr	1	Asilo d'infanzia	Asilo d'infanzia maria Ceccarini			ipabceccarini@pec.it	pec
aiplv_bz	1	Audit	verifica a campione delle procedure di affidamento	0471414090	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=6756	aov-acp.audit@pec.prov.bz.it	pec
aiplv_bz	2	SUA SF - Stazione Unica Appaltante Servizi e Forniture	Stazione Unica Appaltante Servizi e Forniture	0471414010	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=6756	aov-acp.servicesupply@pec.prov.bz.it	pec
aiplv_bz	3	SUA L - Stazione Unica Appaltante Lavori	Stazione Unica Appaltante Lavori	0471414030	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=6756	aov-acp.works@pec.prov.bz.it	pec
aiplv_bz	4	SICP - Sistema informativo sui contratti pubblici	Sistema informativo sui contratti pubblici	0471414060	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=6756	bov.ocp@pec.prov.bz.it	pec
aiplv_bz	5	SA - Area strategie d'acquisto	Area strategie d'acquisto	0471414050	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=6756	aov-acp.strategie@pec.prov.bz.it	pec
aiplv_bz	6	UOC - Unita' organizzativa controlli	Controlli	0471414090	http://www.provincia.bz.it/it/contatti.asp?orga_orgaid=7716	controlli.acp@pec.prov.bz.it	pec
aisgi	1	Servizio Amministrativo	Servizio Amministrativo	0586214425		pinotti@atotoscanacosta.it	altro
aisgi	2	Servizio Tecnico	Servizio Tecnico	0586214425		pinotti@atotoscanacosta.it	altro
amco_ma	1	Ordine Medici-Chirurghi e Odontoiatri	Tenuta Albo Professionale e Consulenza	0733230797	http://ordinemedicimc.regione.marche.it/	protocollo@omceomacerata.it	altro
amis	1	SERVIZI CIMITERIALI	GESTIONE CIMITERI	0872714839	http://www.anxam.it/	servizicimiteriali@farmanxa.com	altro
amis	2	FARMACIE COMUNALI	GESTIONE FARMACIE	087244272	http://www.anxam.it/	info@farmanxa.com	altro
amis	3	PARCHEGGI A PAGAMENTO	GESTIONE PARCHEGGI	087244272	http://www.anxam.it/	info@farmanxa.com	altro
and	1	ACCADEMIA NAZIONALE DI DANZA	ISTITUZIONE AFAM- MIUR	0657177703	WWW.ACCADEMIANAZIONALEDANZA.IT	ACCADEMIANAZIONALEDANZA@ARGOPEC.IT	pec
anpa	1	ASP N 2 DELLA PROVINCIA DELL'AQUILA	SCUOLA DELL'INFANZIA PARITARIA REGINA MARGHERITA	086452685	www.asp2aq.it	reginamargherita5@virgilio.it	altro
anpa	2	ASP N 2 DELLA PROVINCIA DELL'AQUILA	RESIDENZA PER ANZIANI G. COLAIANNI DI ROCCARASO	0864602316	www.asp2aq.it	casasantasulmona@gmail.com	altro
anpa	3	ASP N 2 DELLA PROVINCIA DELL'AQUILA	RESIDENZA PER ANZIANI CASA SANTA DELL'ANNUNZIATA DI SULMONA	086431219	www.asp2aq.it	casasantasulmona@pec.it	pec
ao_	1	azienda ospedaliero universitaria ospedali riuniti di Foggia	Direzione Generale	0881732441	https://www.sanita.puglia.it/web/ospedaliriunitifoggia/	direzionegenerale.segreteria@ospedaliriunitifoggia.it	altro
ao_	10	azienda ospedaliero universitaria ospedali riuniti di Foggia	Programmazione e Controllo di Gestione	0881733800	https://www.sanita.puglia.it/web/ospedaliriunitifoggia/	controllogestione@ospedaliriunitifoggia.it	altro
ao_	11	azienda ospedaliero universitaria ospedali riuniti di Foggia	CUP e Libera Professione	0881732245	https://www.sanita.puglia.it/web/ospedaliriunitifoggia/	cup-liberaprofessione@ospedaliriunitifoggia.it	altro
