cod_ou	cod_amm	prg_srv_ou	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
002	udcb_ra	1	Servizio Affari Istituzionali Faenza e URF	Affari Istituzionali Faenza e URF		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	c_e106	1	UFFICIO RAGIONERIA	UFFICIO RAGIONERIA	035707145	http://www.comune.gorno.bg.it	ragioneria@comune.gorno.bg.it	altro
002	c_i804	1	UFFICIO LEGALE	UFFICIO LEGALE	0864576308	http://www.comune.sulmona.aq.it/uffici-e-servizi/legale.html	ufficiolegale@pec.comune.sulmona.aq.it	pec
002	c_l494	1	SEGRETERIA	SEGRETERIA	030717115	www.uragodoglio.gov.it	segreteria@uragodoglio.gov.it	altro
002	c_g546	1	RAGIONERIA	RAGIONERIA	0364593820	www.comune.piancamuno.bs.it	uff.ragioneria@comune.piancamuno.bs.it	altro
002	c_b603	1	Ufficio Mandati	Rapporti con la Tesoreria, Mandati e varie	0931540208	www.comunedicanicattinibagni.it	ufficioragioneria.canicattinibagni@pec.it	pec
002	c_b107	1	C.U.C.	Centrale Unica di Committenza per i comuni di: Bovolone, Salizzole, Concamarise	0456995226		appalti@pec.bovolone.gov.it	pec
002	c_a519	1	Servizio tributi commercio e attivita' produttive	Gestione tributi comunali, SUAP, Commercio, Turismo	0971701881		comune.avigliano@cert.ruparbasilicata.it	pec
002	gsu_tv	1	RAGIONERIA - ECONOMATO	Predisposizione e gestione del bilancio, del conto del bilancio, controllo finanziario, gestione entrate e pagamenti, gestione economato, rapporti con Tesoriere e con Revisori dei conti, gestione finanziaria patrimonio.	0438433002		ragioneria@comunegodega.tv.it	altro
002	gsu_tv	2	TRIBUTI	Gestione: imposta municipale unica (IMU), tassa servizi indivisibili (TASI), tariffa rifiuti urbani, tassa occupazione suolo pubblico (TOSAP), imposta pubblicita' e pubbliche affisioni, recupero evazione tributaria.	0438433009		tributi@comunegodega.tv.it	altro
002	udcb_ra	2	Servizio Archivio e Protocollo	Archivio e Protocollo		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	c_b603	2	Ufficio accertamenti e riscossione delle entrate	Controllo e accertamenti	0931540210	www.comunedicanicattinibagni.it	ufficioragioneria.canicattinibagni@pec.it	pec
002	c_l498	2	Servizio interventi sociali	Ufficio segretariato sociale e servizi alla persona, casa di riposo, nido d'infanzia, pubblica istruzione, mensa, sport, trasporto pubblico, assistente sociale	0722313152	http://www.comune.urbania.ps.it/uffici-e-servizi/2-settore-servizi-demografici-sociali/servizi-sociali/	serv.sociali@comune.urbania.ps.it	altro
002	c_g546	2	SPORTELLO UNICO ATTIVITA' PRODUTTIVE (SUAP)	SPORTELLO UNICO ATTIVITA' PRODUTTIVE (SUAP)	0364593813	www.sportellotelematico.cmvallecamonica.bs.it	suap.piancamuno@pec.regione.lombardia.it	pec
002	c_g546	3	TRIBUTI	TRIBUTI	0364593820	www.comune.piancamuno.bs.it	uff.tributi@comune.piancamuno.bs.it	altro
002	gsu_tv	3	PERSONALE	Gestione procedura concorsuale - pratica assunzione, predisposizione e tenuta contratti di lavoro - tenuta posizione giuridica, economica e previdenziale del personale - infortuni sul lavoro - gestione normativa lavoratori socialmente utili.	0438433003		personale@comunegodega.tv.it	altro
002	udcb_ra	3	Servizio Appalti e Consulenza Interna	Appalti e Consulenza Interna		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	udcb_ra	4	Servizio Contratti	Contratti		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	gsu_tv	4	INTERVENTI A SOSTEGNO ALL'ATTIVITA' SCOLASTICA - SPORT - TEMPO LIBERO - ASSOCIAZIONISMO	Sostegno all'attivita' didattica delle scuole con servizi che integrano e completano l'offerta scolastica, rimborso forfettario spese scolastiche, fornitura gratuita libri di testo studenti scuole primarie e totale o parziale scuole medie e superiori, contributi a favore degli studenti, borse di studio a studenti meritevoli - tenuta Albo Associazioni - organizzazione Festa Associazioni e Giornata dello Sport - rilascio patrocionio e contributi alle Associazioni.	0438430222		ivana.miatto@comunegodega.tv.it	altro
002	gsu_tv	5	BIBLIOTECA - CULTURA	Gestione Biblioteca Comunale - Organizzazione e promozione eventi culturali - Realizzazione di attivita' teatrali, musicali, artistiche, letterarie, fotografiche e cinematografiche - Concessione borse di studio e premi di laurea - Promozione attivita'  didattiche per bambini, adulti e anziani (laboratori grafico-pittorici, letture animate, corsi di lingua italiana per stranieri, universita' della terza eta').	0438430545		biblioteca@comunegodega.tv.it	altro
002	udcb_ra	5	Servizio Contenzioso	Contenzioso		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	udcb_ra	6	Servizio Affari Generali Brisighella	Affari Generali Brisighella		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	gsu_tv	6	MENSA - TRASPORTO SCOLASTICO - VIGILANZA PRESCUOLA	Organizzazione del servizio di:  trasporto scolastico, refezione scolastica, sorveglianza alunni che entrano anticipatamente a scuola, servizio di vigilanza pre scuola.	0438430222		silvia.carniel@comunegodega.tv.it	altro
002	udcb_ra	7	Servizio Affari Generali Casola Valsenio	Affari Generali Casola Valsenio		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	gsu_tv	7	SERVIZI DEMOGRAFICI	Rilascio certificazioni anagrafiche, formazione atti stato civile, aggiornamento registri demografici, tenuta liste elettorali, operazioni connesse alle consultazioni elettorali, rilascio carte d'identita', domande passaporti, esecuzione censimenti ISTAT, assegnazione numeri civici, iscrizione Albo Presidenti di seggio, Albo Scrutatori, Albo Giudici Popolari.	0438430222		demografici@comunegodega.tv.it	altro
002	udcb_ra	8	Servizio Affari Generali Castel Bolognese	Affari Generali Castel Bolognese		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	udcb_ra	9	Servizio Affari Generali Riolo Terme	Affari Generali Riolo Terme		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	udcb_ra	10	Servizio Affari Generali Solarolo	Affari Generali Solarolo		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
002	udcb_ra	11	Servizio Provveditorato	Provveditorato		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
003	gsu_tv	1	LAVORI PUBBLICI - MANUTENTIVO - AMBIENTE	Gestione e programmazione di opere pubbliche - richieste intervneto ARPAV e ULSS 7 su segnalazioni in campo ambientale - manutenzione degli spazi pubblici, strade, verde pubblico, immobili comunali, illuminazione pubblica e dei cimiteri comunali - servizi cimiteriali	0438433007		lavoripubblici@comunegodega.tv.it	altro
003	c_l498	1	Servizio lavori pubblici e manutenzioni	Ufficio manutenzioni e lavori pubblici	0722313178	http://www.comune.urbania.ps.it/uffici-e-servizi/3-settore-gestione-del-territorio/lavori-pubblici/	assettoterritorio@comune.urbania.ps.it	altro
003	c_h294	1	Sportello Unico per le Attivita Produttive	Sito Servizi Online	0541704362	http://www.sportellounico.rimini.it	sportello.unico@pec.comune.rimini.it	pec
003	c_g546	1	EDILIZIA PRIVATA	EDILIZIA PRIVATA	0364593830	www.sportellotelematico.cmvallecamonica.bs.it	tecnico.comune.piancamuno@pec.regione.lombardia.it	pec
003	c_b603	1	Ufficio Servizi Cimiteriali - Idrico	Rilascio concessioni e permessi vari (seppellimento, concessioni cimiteriali, etc)	0931540222	www.comunedicanicattinibagni.it	ufficiotecnico@comune.canicattinibagni.sr.it	altro
003	c_e841	1	UFF_DEMOGRAFICO	DEMOGRAFICO		www.comune.mairano.bs.it	demografici.comune.mairano@pec.regione.lombardia.it	pec
003	c_g546	2	EDILIZIA PUBBLICA	EDILIZIA PUBBLICA	0364593830	www.comune.piancamuno.bs.it	tecnico.comune.piancamuno@pec.regione.lombardia.it	pec
003	gsu_tv	2	CIMITERIALI	Tumulazioni (domande e autorizzazioni), inumazioni, esumazioni - concessioni d'uso loculi, cellette e tombe - illuminazione votiva mediante ditta concessionaria	0438430222		lavoripubblici@comunegodega.tv.it	altro
003	c_l498	2	Servizio urbanistica	Ufficio SUED, pianificazione urbanistica, espropri, edilizia privata, edilizia residenziale pubblica	0722313178	http://www.comune.urbania.ps.it/uffici-e-servizi/3-settore-gestione-del-territorio/urbanisitica-e-edilizia-privata/	assettoterritorio@comune.urbania.ps.it	altro
003	c_b603	2	Ufficio Urbanistica	Rilascio concessione edilizie in genere	0931540222	www.comunedicanicattinibagni.it	ufficiotecnico@comune.canicattinibagni.sr.it	altro
003	c_b603	3	R.S.U. , Pubblica Illuminazione	Gestione rifiuti urbani, pericolosi e riciclabili, servizio e gestione impianti di pubblica illuminazione	0931540230	www.comunedicanicattinibagni.it	ufficiotecnico@comune.canicattinibagni.sr.it	altro
003	c_g546	3	TECNICO - MANUTENTIVO	TECNICO - MANUTENTIVO	0364593830	www.comune.piancamuno.bs.it	tecnico.comune.piancamuno@pec.regione.lombardia.it	pec
003	c_l498	3	Servizio ambiente e protezione civile	Ufficio ambiente e protezione civile	0722313178	http://www.comune.urbania.ps.it/uffici-e-servizi/3-settore-gestione-del-territorio/ambiente/	assettoterritorio@comune.urbania.ps.it	altro
003	gsu_tv	3	POLIZIA LOCALE E NOTIFICAZIONI	Ordinanze sulla viabilita' e disciplina della circolazione stradale - prevenzione e tutela della sicurezza stradale con monitoraggio della rete viaria - rilevazione e repressione infrazioni al Codice della Strada - rilievi incidenti stradali - lezioni teorico/pratiche di educazione stradale presso le scuole.	0438433010		vigilanza@comunegodega.tv.it	altro
003	c_g546	4	URBANISTICA	URBANISTICA	0364593830	www.comune.piancamuno.bs.it	tecnico.comune.piancamuno@pec.regione.lombardia.it	pec
0031	c_h678	1	Servizio Segreteria	Ufficio affari generali , Ufficio comunicazione, Ufficio protocollo e archivio, Ufficio rapporti con Unione	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/servizio-segreteria	comune.salabolognese@cert.provincia.bo.it	pec
004	c_d548	1	U.O. Servizi Demografici	Atti Stato Civile - Anagrafe - Elettorale		www.comune.fe.it	ssdd@cert.comune.fe.it	pec
004	gsu_tv	1	URBANISTICA - EDILIZIA PRIVATA - ATTIVITA' PRODUTTIVE -  SERVIZI INFORMATICI	Gestione: pratiche edilizie e relativa informazione - strumenti urbanistici generali, loro varianti e relativa informazione - strumenti urbanistici attuativi e riqualificazione urbanistica - certificati di destinazione urbanistica - servizi informatici	0438430390	www.comunegodega.tv.it	urbanistica@comunegodega.tv.it	altro
004	c_l498	1	Servizio contabilita' generale, patrimonio, economato, personale (gestione economica)	Ufficio programmazione finanziaria, contabilita' generale, patrimonio, economato, personale (gestione economica)	0722313132	http://www.comune.urbania.ps.it/uffici-e-servizi/4-settore-programmazione-finanziaria/ufficio-ragioneria-generale/	serv.finanziari@comune.urbania.ps.it	altro
004	udcb_ra	1	Servizio Personale e Organizzazione	Personale e Organizzazione		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
004	c_g546	1	FARMACIE COMUNALI	FARMACIE COMUNALI	0364591490	www.comune.piancamuno.bs.it	farmacie.comune.piancamuno@pec.regione.lombardia.it	pec
004	c_g278	1	C.E.D.	INFORMATICO	0962761037	www.comune.pallagorio.kr.it	giuseppe.iocca@comune.pallagorio.kr.it	altro
004	c_b603	1	Comando Polizia Municipale	Controllo del Territorio	0931540216	www.comunedicanicattinibagni.it	poliziamunicipale.canicattinibagni@pec.it	pec
004	c_l498	2	Servizio tributi gestione entrate	Ufficio tributi entrate tributarie	0722313132	http://www.comune.urbania.ps.it/uffici-e-servizi/4-settore-programmazione-finanziaria/ufficio-tributi/	serv.finanziari@comune.urbania.ps.it	altro
004	c_b603	2	Protezione Civile	Protezione civile, emergenze varie, etc	0931540216	www.comunedicanicattinibagni.it	poliziamunicipale.canicattinibagni@pec.it	pec
004	udcb_ra	2	Servizio Contabilita del Personale	Contabilita del Personale		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
004	gsu_tv	2	COMMERCIO E SPORTELLO UNICO PER LE ATTIVITA' PRODUTTIVE	Commercio in sede fissa, commercio su aree pubbliche, pubblici esercizi, acconciatori/estetisti, agricoltura, esercizio attivita' sanitarie, distributori di carburanti stradali e privati, strutture ricettive, noleggio auto/autobus con e senza conducente, riconoscimento fiere a carattere locale, ascensori e montacarichi, manifestazioni temporanee, Commissione Comunale Vigilanza Pubblico Spettacolo.	0438430448		commercio@comunegodega.tv.it	altro
0041	c_h678	1	Servizio Ragioneria - Economato	Servizio ragioneria, Economato	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/ragioneria	comune.salabolognese@cert.provincia.bo.it	pec
0042	c_h678	1	Servizio tributi	Servizio tributi	0516844511	http://www.indicepa.gov.it/ricerca/n-serviziamm.php?cod_amm=c_h678&pag=3	comune.salabolognese@cert.provincia.bo.it	pec
005	c_b603	1	Ufficio Tributi ed Economato	Controllo e riscossione tributi, Gestione economale dell'Ente	09315402039	www.comunedicanicattinibagni.it	ufficiotributi.canicattinibagni@pec.it	pec
005	cm_labe	1	SUAP	Sportello unico attivita' produttive		http://www.suap.cmlaghi.bg.it/	cmlaghi_suap@legalmail.it	pec
005	c_l498	1	Servizio cultura	Ufficio cultura,, biblioteca, museo e mediateca	0722313151	http://www.comune.urbania.ps.it/uffici-e-servizi/5-settore-attivita-culturali/biblioteca-e-musei-civici-del-palazzo-ducale/	f.paoli@comune.urbania.ps.it	altro
005	udcb_ra	1	Servizio Promozione Economica e Turismo	Promozione Economica e Turismo		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
005	c_l498	2	Servizio turismo	Ufficio turismo, manifestazioni sportive e ricreative, comunicazione e partecipazione con il cittadino	0722313140	http://www.comune.urbania.ps.it/uffici-e-servizi/5-settore-attivita-culturali/ufficio-turismo-e-cultura/	urp@comune.urbania.ps.it	altro
005	udcb_ra	2	Servizio Cultura e Sport	Cultura e Sport		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
005	udcb_ra	3	Servizio Biblioteche	Biblioteche		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
005	udcb_ra	4	Servizio Musei	Musei		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
0051	c_h678	1	Servizio scuola, sport, sociali	Servizio scuola	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/servizi-scolastici	comune.salabolognese@cert.provincia.bo.it	pec
0053	c_h678	1	Servizio cultura - Sport - Volontariato - Politiche giovanili	Servizio cultura, Sport, Volontariato, Politiche giovanili	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/servizio-cultura-sport-volontariato-politiche-giovanili	comune.salabolognese@cert.provincia.bo.it	pec
00530	aoup_082	1	R.P.C.T.	RESPONSABILE PREVENZIONE, CORRUZIONE E TRASPARENZA A.O.U.P.			piero.almasio@unipa.it	altro
005SK	c_g133	1	UFFICIO TECNICO COMUNALE	Tecnico	0709804139	fatturazione	ut.ortacesus@servizipostacert.it	pec
006	c_b603	1	Sviluppo economico, Cultura, SUAP, Turismo, Spettacolo, Biblioteca comunale,	Servizi vari per lo sviluppo del territorio e delle imprese	0931540236	www.comunedicanicattinibagni.it	sviluppoeconomico.canicattinibagni@pec.it	pec
006	udcb_ra	1	Servizio Presidio del territorio Valle del Lamone	Presidio del territorio Valle del Lamone		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
006	udcb_ra	2	Servizio Presidio del territorio Valle del Senio	Presidio del territorio Valle del Senio		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
006	udcb_ra	3	Servizio Coordinamento	Coordinamento		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
006	udcb_ra	4	Servizio Mobilita e Decoro Urbano	Mobilita e Decoro Urbano		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
0061	c_h678	1	Servizio lavori pubblici - Manutenzioni	Servizio lavori pubblici, Manutenzioni	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/lavori-pubblici	comune.salabolognese@cert.provincia.bo.it	pec
0062	c_h678	1	SUAP - SUE	Sportello unico per le attivita' produttive SUAP, Sportello unico per l'edilizia SUE	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/suap-sportello-unico-attivita-produttive-sue-sportello-unico-edilizia	comune.salabolognese@cert.provincia.bo.it	pec
0063	c_h678	1	Urbanisitca	Urbanisitca	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/gestione-del-territorio	comune.salabolognese@cert.provincia.bo.it	pec
00630	aoup_082	1	GESTIONE DEL PERSONALE  00.63.1  UOS	Gestione personale sanitario	0916553164			altro
0064	c_h678	1	Ambiente	Ambiente	0516844511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi/ambiente	comune.salabolognese@cert.provincia.bo.it	pec
007	c_h294	1	Ufficio Concorsi	Ufficio predisposto alla gestione dei concorsi banditi dal Comune di Rimini	0541704965	http://www.comune.rimini.it/comune-e-citta/comune/concorsi	ufficio.concorsi@pec.comune.rimini.it	pec
007	udcb_ra	1	Servizio Progettazione Edifici	Progettazione Edifici		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	c_h678	1	Servizi demografici, elettorale e statistica	Servizi demografici, elettorale e statistica	0516822511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi	comune.salabolognese@cert.provincia.bo.it	pec
007	c_h678	2	Sportelli Polifunzionali	Sportelli Polifunzionali	0516822511	http://www.comune.sala-bolognese.bo.it/comune/uffici-e-servizi	comune@comune.sala-bolognese.bo.it	altro
007	udcb_ra	2	Servizioo Progettazione Infrastrutture, Manutenzione Faenza	Progettazione Infrastrutture, Manutenzione Faenza		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	3	Servizio Coordinamento LL.PP. Solarolo e Faenza Edifici	Coordinamento LL.PP. Solarolo e Faenza Edifici		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	4	Servizio Coordinamento LL.PP. Valle Senio	Coordinamento LL.PP. Valle Senio		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	5	Servizio Coordinamento LL.PP. Brisighella	Coordinamento LL.PP. Brisighella		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	6	Servizio Ambiente e Manutenzione Verde Faenza	Ambiente e Manutenzione Verde Faenza		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	7	Servizio Amministrativo, Sostenibilita e Sicurezza sul lavoro	Amministrativo, Sostenibilita e Sicurezza sul lavoro		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
007	udcb_ra	8	Ufficio di Supporto	Supporto		www.romagnafaentina.it	pec@cert.romagnafaentina.it	pec
008	c_d548	1	Servizi Amministrativi	Contabilita' - Bilanci		null	ragioneria@cert.comune.fe.it	pec
01	c_h556	1	Web Ufficio Segreteria	Pagina Web Ufficio Segreteria	0424584120	https://www.comune.rosa.vi.it/it/page/segreteria-71ad5d3a-a237-4444-b75b-c0bd33446e2b	segreteria@comune.rosa.vi.it	altro
