#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Bando_SDA,Valore_economico_Base_Asta,Durata_media_fornitura,N_AS_Pubblicati,N_PA_Appaltanti,N_PO
"2018","UNIVERSITA' E POLITECNICI","VENETO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","1099860","36","2","1","1"
"2018","UNIVERSITA' E POLITECNICI","LIGURIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","896474,67","60","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","LIGURIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","2158670,52","36","2","1","1"
"2018","UNIVERSITA' E POLITECNICI","CALABRIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2226806","24","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","CAMPANIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","4213201,44","36","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","2722766","30","2","2","2"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","4170483","20,66","3","2","2"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","2517000","1","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","ARREDI","1813360","36","2","1","1"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","ICT - SDAPA","2166000","16,5","4","2","2"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","53563080,71","60","2","2","2"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","1480000","60","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","5480000","60","1","1","1"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","7610000","60","1","1","1"
"2018","ENTI DI DIRITTO ALLO STUDIO","MARCHE","DERRATE ALIMENTARI","1553657,26","12","2","1","1"
"2018","ENTI DI DIRITTO ALLO STUDIO","MARCHE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2735847,84","24","3","1","1"
"2018","ENTI DI DIRITTO ALLO STUDIO","MARCHE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","361400,69","48","1","1","1"
"2018","ENTI DI DIRITTO ALLO STUDIO","MARCHE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","1592950,74","48","1","1","1"
"2018","ENTI DI DIRITTO ALLO STUDIO","VENETO","DERRATE ALIMENTARI","1391600","24","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","ARREDI","1087500","6","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","FARMACI","2273322,68","12","2","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","ICT - SDAPA","76292969,02","27,74","62","7","14"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","DERRATE ALIMENTARI","17606392,71","10,62","8","1","6"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","26323927,23","23,07","14","5","10"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","271900","30","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","2151520,6","26","3","2","3"
"2018","MINISTERI E AGENZIE FISCALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","1218745,94","24","3","2","3"
"2018","MINISTERI E AGENZIE FISCALI","PUGLIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2210092,18","20,25","4","2","2"
"2018","MINISTERI E AGENZIE FISCALI","VENETO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1491342,63","36","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LIGURIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","620584,55","18","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","SICILIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","221712,88","4","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","TOSCANA","DERRATE ALIMENTARI","1358819,41","7","3","1","2"
"2018","MINISTERI E AGENZIE FISCALI","TOSCANA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1007872,81","7","3","1","2"
"2018","MINISTERI E AGENZIE FISCALI","CAMPANIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","4290105,55","28,5","4","3","3"
"2018","MINISTERI E AGENZIE FISCALI","PIEMONTE","DERRATE ALIMENTARI","732000","8","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","1020000","24","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LOMBARDIA","DERRATE ALIMENTARI","583633,94","11","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LOMBARDIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","5342294,2","19","3","3","3"
"2018","MINISTERI E AGENZIE FISCALI","BASILICATA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1234300,52","36","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","EMILIA ROMAGNA","DERRATE ALIMENTARI","253646","7","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","EMILIA ROMAGNA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","831745,61","7,66","3","2","3"
"2018","MINISTERI E AGENZIE FISCALI","TRENTINO ALTO ADIGE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","378005,5","36","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","FRIULI VENEZIA GIULIA","DERRATE ALIMENTARI","2077042,85","8,5","2","1","2"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","ICT - SDAPA","8188445,58","53,33","9","2","2"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","AUSILI TECNICI PER PERSONE DISABILI","2456000","48","3","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","82372755,57","45","4","2","2"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","382662,3","36","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","707642,37","36","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","3434060,16","36","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","6170751,36","36","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","MOLISE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","764921,53","48","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","UMBRIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1273567,03","48","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","VENETO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","6730645,84","48","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","PIEMONTE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","7330095,72","48","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","BASILICATA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1161632,79","48","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","TRENTINO ALTO ADIGE","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","1401149,5","48","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","FARMACI","1106417,28","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","LAZIO","AUSILI TECNICI PER PERSONE DISABILI","148720","24","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","MARCHE","SERVIZI ASSICURATIVI","964819,62","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","PUGLIA","APPARECCHIATURE ELETTROMEDICALI","182000","48","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","UMBRIA","OSSIGENOTERAPIA DOMICILIARE","11092335,09","60","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","UMBRIA","APPARECCHIATURE ELETTROMEDICALI","450000","24","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","UMBRIA","AUSILI TECNICI PER PERSONE DISABILI","280000","24","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","ABRUZZO","APPARECCHIATURE ELETTROMEDICALI","170000","48","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","FARMACI","1229160","6","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","SERVIZI DI LAVANOLO","520630","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","APPARECCHIATURE ELETTROMEDICALI","1290000","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","AUSILI TECNICI PER PERSONE DISABILI","681680","36","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","ANTISETTICI, AGHI E SIRINGHE, MEDICAZIONI","403960,95","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SICILIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","2513700","60","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","SERVIZI ASSICURATIVI","1985520","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","CAMPANIA","APPARECCHIATURE ELETTROMEDICALI","4181000","21","6","3","3"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","AUSILI TECNICI PER PERSONE DISABILI","8596000","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ANTINCENDIO","912044,31","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SARDEGNA","DERRATE ALIMENTARI","547638","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SARDEGNA","OSSIGENOTERAPIA DOMICILIARE","48556169,17","48","2","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","SARDEGNA","APPARECCHIATURE ELETTROMEDICALI","810000","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","LOMBARDIA","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","856491,32","36","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","BASILICATA","FARMACI","3356250,54","12","3","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","BASILICATA","SERVIZI DI RISTORAZIONE","195000","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","BASILICATA","APPARECCHIATURE ELETTROMEDICALI","95000","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","EMILIA ROMAGNA","APPARECCHIATURE ELETTROMEDICALI","228000","12","1","1","1"
"2018","AZIENDE SANITARIE LOCALI E PROVINCIALI","FRIULI VENEZIA GIULIA","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","195000","12","1","1","1"
"2018","ORGANI COSTITUZIONALI E ORGANI DELLO STATO","LAZIO","ICT - SDAPA","2459000","40","3","3","3"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LAZIO","ICT - SDAPA","612913","30","2","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","MARCHE","FARMACI","287271380,58","48","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","UMBRIA","FARMACI","741101528,28","36","6","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","SARDEGNA","ICT - SDAPA","403040","30","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","LOMBARDIA","ICT - SDAPA","263200","12","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","EMILIA ROMAGNA","ICT - SDAPA","3000000","36","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","TRENTINO ALTO ADIGE","ICT - SDAPA","3321404,71","33","4","2","2"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","ICT - SDAPA","76608203,25","35,81","16","5","16"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","SCHEDE ELETTORALI","2855463,1","6,5","6","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","SERVIZI ASSICURATIVI","83590451,1","20","1","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","238246379,79","44","3","2","3"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","CAMPANIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","2097000","36","2","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","CAMPANIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","3068000","12","2","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","CAMPANIA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","4880000","12","2","1","1"
"2018","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LAZIO","ICT - SDAPA","9275648,94","30,25","8","3","3"
"2018","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LAZIO","SERVIZI POSTALI, SERVIZI DI CONSEGNA PLICHI E PACCHI TRAMITE CORRIERE E SERVIZI CONNESSI","24086978,7","27","2","2","2"
"2018","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LOMBARDIA","ICT - SDAPA","260000","48","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","ICT - SDAPA","1312720","42","3","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","36600","36","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","LOMBARDIA","SERVIZI DI PULIZIA E IGIENE AMBIENTALE","249000","36","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","ICT - SDAPA","427500","36","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","APPARECCHIATURE ELETTROMEDICALI","180000","12","2","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","MARCHE","FARMACI","3954206,81","12","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","UMBRIA","APPARECCHIATURE ELETTROMEDICALI","1107000","15","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","FARMACI","1562532,15","24","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","FARMACI","5871733,98","8","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","FARMACI","335580","36","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","APPARECCHIATURE ELETTROMEDICALI","90000","1","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","SICILIA","ANTISETTICI, AGHI E SIRINGHE, MEDICAZIONI","1032059","36","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","FARMACI","681438,32","25,33","3","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","APPARECCHIATURE ELETTROMEDICALI","270000","24","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","FARMACI","217050","24","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","SERVIZI DI LAVANOLO","241400","48","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","APPARECCHIATURE ELETTROMEDICALI","460000","24","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PIEMONTE","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELEVATORI","489745,51","36","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","FARMACI","376225","12","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","ICT - SDAPA","230000","12","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","DERRATE ALIMENTARI","350000","40","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LOMBARDIA","SERVIZI DI LAVANOLO","601367","48","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","BASILICATA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI ELETTRICI E SPECIALI","311000","12","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","BASILICATA","SERVIZI DI MANUTENZIONE DEGLI IMPIANTI TERMOIDRAULICI E DI CONDIZIONAMENTO","389000","12","1","1","1"
"2018","AZIENDE, ISTITUTI, SOCIETA', CONSORZI ED ENTI DI SERVIZI SANITARI PUBBLICI","LIGURIA","FARMACI","239948357,61","22,4","10","1","1"
"2018","AZIENDE, ISTITUTI, SOCIETA', CONSORZI ED ENTI DI SERVIZI SANITARI PUBBLICI","TOSCANA","ICT - SDAPA","2673274","24","2","1","2"
